"player_id","name","position","season","week","team","opponent","snaps","pass_attempts","completions","pass_yards","air_yards_passing","pass_touchdowns","interceptions","carries","rush_yards","rush_touchdowns","targets","receptions","receiving_yards","air_yards","receiving_touchdowns","scrimmage_yards","total_touchdowns","total_touches","opportunities","evaded_tackles","yards_created","snap_share","pass_yards_per_attempt","yards_per_carry","yards_per_target","yards_per_reception","yards_per_touch","yards_per_opportunity","opportunity_share","target_share","air_yards_share","fantasy_points","fantasy_points_per_target","fantasy_points_per_opportunity","juke_rate","hog_rate","deep_ball_pass_attempts","deep_ball_pass_completions","deep_targets","contested_targets","contested_catches","red_zone_pass_attempts","red_zone_carries","red_zone_targets","red_zone_receptions","red_zone_opportunities","red_zone_touches","end_zone_targets","red_zone_completions","pass_attempts_inside_5","pass_attempts_inside_10","carries_inside_5","carries_inside_10","targets_inside_5","targets_inside_10","routes_run","man_coverage_routes","man_coverage_targets","zone_coverage_routes","zone_coverage_targets","routes_won","routes_won_vs_man","routes_won_vs_zone","average_cushion","shotgun_snaps","play_action_snaps","hurries","hurry_up_snaps","light_front_carries","heavy_front_carries","yards_blocked","danger_plays","drops","burned_cb","interceptable_passes","big_hits_taken","sacks_taken","shotgun_carries","shotgun_targets","first_downs_rushing","first_downs_receiving","first_downs_passing","three_or_greater_separation_yards_at_target","plays_5_or_greater_yards_created"
"AA-0025","Ameer Abdullah","RB",2020,3,"MIN","TEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA-0025","Ameer Abdullah","RB",2020,5,"MIN","SEA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA-0025","Ameer Abdullah","RB",2020,6,"MIN","ATL",14,0,0,0,0,0,0,2,7,0,2,1,1,0,0,8,0,3,4,0,0,0.286,0,3.5,0.5,1,2.7,2,0.222,0.057,0,1.8,0.9,0.4,0,0.143,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,3.7,13,0,0,0,1,0,7,0,0,0,0,0,0,1,2,2,0,0,0,0
"AA-0025","Ameer Abdullah","RB",2020,8,"MIN","GB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA-0025","Ameer Abdullah","RB",2020,9,"MIN","DET",1,0,0,0,0,0,0,0,0,0,1,1,22,0,1,22,1,1,1,0,0,0.019,0,0,22,22,22,22,0.027,0.05,0,9.2,9.2,9.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AA-0025","Ameer Abdullah","RB",2020,13,"MIN","JAC",4,0,0,0,0,0,0,2,11,0,1,1,18,4,0,29,0,3,3,0,0,0.049,0,5.5,18,18,9.7,9.7,0.067,0.025,0.013,3.9,3.9,1.3,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,5,4,0,0,1,0,0,11,0,0,0,0,0,0,2,1,1,1,0,0,0
"AA-0025","Ameer Abdullah","RB",2020,14,"MIN","TB",15,0,0,0,0,0,0,3,11,0,2,2,10,0,0,21,0,5,5,0,0,0.214,0,3.7,5,5,4.2,4.2,0.132,0.057,0,4.1,2,0.8,0,0.133,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,10,1,0,1,1,0,11,0,0,0,0,1,0,2,1,0,1,0,2,0
"AA-0025","Ameer Abdullah","RB",2020,15,"MIN","CHI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA-0025","Ameer Abdullah","RB",2020,16,"MIN","NO",11,0,0,0,0,0,0,1,13,0,1,0,0,0,0,13,0,1,2,1,7,0.19,0,13,0,0,13,6.5,0.1,0.026,0,1.3,1.3,0.7,1e-04,0.091,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,4,3,1,1,0,1,1,0,3.5,7,4,0,0,1,0,6,0,0,0,0,0,0,0,1,1,0,0,1,1
"AA-0025","Ameer Abdullah","RB",2020,17,"MIN","DET",16,0,0,0,0,0,0,0,0,0,3,3,7,0,1,7,1,3,3,0,0,0.225,0,0,2.3,2.3,2.3,2.3,0.086,0.079,0,9.7,3.2,3.2,0,0.188,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,7,3,1,4,1,2,1,1,6.3,13,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
