"player","name","week","position","team","opponent","fantasy_points","fantasy_points_rank","pass_attempts","completions","passing_yards","air_yards_pass","passing_touchdowns","interceptions","carries","rushing_yards","rushing_touchdowns","targets","target_share","receptions","receiving_yards","air_yards","receiving_touchdowns","total_touches","total_yards","snaps","snap_share","pass_snaps","run_snaps","red_zone_snaps","play_action_snaps","snaps_in_motion","shotgun_snaps","backfield_snaps","slot_snaps","inline_snaps","snaps_out_wide","routes_run","primary_corner","hog_rate","contested_targets","contested_catches","catchable_targets","drops","deep_ball_attempts","deep_ball_completions","throws_under_duress","qb_seconds_to_throw","oline_hurries","batted_throws","money_throws","danger_plays","qb_throw_aways","sacks_taken","interceptable_passes","catchable_passes","yards_created","yards_created_rushing","yards_created_receiving","yards_blocked","evaded_tackles","defenders_in_box","defenders_in_box_pass_snaps","defenders_in_box_run_snaps","defenders_in_box_red_zone_snaps","passing_first_downs","rushing_first_downs","receiving_first_downs","red_zone_passes","red_zone_completions","red_zone_carries","red_zone_targets","goal_line_passes","goal_line_carries","goal_line_targets","end_zone_targets","first_down_targets","second_down_targets","third_down_targets","fourth_down_targets","first_down_receiving_yards","second_down_receiving_yards","third_down_receiving_yards","fourth_down_receiving_yards","first_down_throws","second_down_throws","third_down_throws","fourth_down_throws","first_down_passing_yards","second_down_passing_yards","third_down_passing_yards","fourth_down_passing_yards","first_down_carries","second_down_carries","third_down_carries","fourth_down_carries","first_down_rushing_yards","second_down_rushing_yards","third_down_rushing_yards","fourth_down_rushing_yards","carries_left","carries_middle","carries_right","carries_inside","carries_outside","targets_left","targets_middle","targets_right"
"00-0037340","Zaire Mitchell-Paden",1,"TE","BAL","BUF",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29.4118,3,12,0,3,4,2,12,0,3,,1,"",0,,,,,0,0,,,,,,,,,,,,,,,,6.8,6.33,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0038933","Dalton Kincaid",1,"TE","BUF","BAL",14.8,4,0,0,0,0,0,0,0,0,0,4,8.8889,4,48,40,1,4,48,39,48.1481,29,8,8,1,4,31,,21,12,6,29,"RS-2250",10.2564,1,1,4,,1,1,,,,,,1,,,,,1,,1,10,0,5.68,5.48,6.38,6.33,,,3,,,,1,,,,1,1,2,1,,11,37,0,,,,,,,,,,,,,,,,,,,,,,,2,1,1
"00-0035689","Dawson Knox",1,"TE","BUF","BAL",4,33,0,0,0,0,0,0,0,0,0,2,4.4444,2,20,3,0,2,20,44,54.321,19,21,12,1,4,29,3,11,25,5,23,"RS-2250",4.5455,0,0,2,,0,0,,,,,,,,,,,1,,1,19,0,6,5.63,6.33,6.33,,,1,,,,,,,,,2,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"00-0040194","Jackson Hawes",1,"TE","BUF","BAL",3.9,35,0,0,0,0,0,0,0,0,0,1,2.2222,1,29,26,0,1,29,17,20.9877,2,14,7,1,4,1,3,1,13,,2,"",5.8824,1,1,1,,1,1,,,,,,,,,,,1,,1,28,0,6.75,6.5,6.79,7.17,,,1,,,,,,,,,1,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"00-0039356","Ja'Tavion Sanders",1,"TE","CAR","JAX",4.7,30,0,0,0,0,0,0,0,0,0,3,8.8235,2,27,41,0,3,27,39,61.9048,25,12,3,3,6,35,4,20,13,2,26,"AW-1818",7.6923,1,0,3,,0,0,,,,,,,,,,,1,,1,26,0,5.84,5.6,6.33,5.67,,,1,,,,,,,,,1,2,,,0,27,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
"00-0040187","Mitchell Evans",1,"TE","CAR","JAX",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11.1111,3,4,0,,,4,,1,6,,2,"DG-0450",0,,,,,0,0,,,,,,,,,,,,,,,,6.14,5.33,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0037005","Tommy Tremble",1,"TE","CAR","JAX",1.2,57,0,0,0,0,0,0,0,0,0,1,2.9412,1,2,0,0,1,2,29,46.0317,13,15,1,4,5,18,,6,22,1,12,"FO-0150",3.4483,0,0,1,,0,0,,,,,,,,,,,1,,1,1,0,6.29,5.92,6.6,7,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,
"00-0036290","Cole Kmet",1,"TE","CHI","MIN",4.1,32,0,0,0,0,0,0,0,0,0,4,11.7647,1,31,57,0,4,31,58,87.8788,30,26,5,9,5,27,4,8,35,11,29,"IR-0500",6.8966,0,0,1,,1,1,,,,,,,,,,,0,,0,31,0,5.71,5.77,5.65,5.6,,,1,,,,,,,,,2,1,1,,31,0,0,,,,,,,,,,,,,,,,,,,,,,,1,2,1
"00-0040126","Colston Loveland",1,"TE","CHI","MIN",3.2,37,0,0,0,0,0,0,0,0,0,2,5.8824,2,12,5,0,2,12,35,53.0303,19,14,1,8,5,12,3,8,16,8,19,"BM-3687",5.7143,0,0,2,,0,0,,,,,,,,,,,1,,1,11,0,5.94,6.05,5.79,8,,,,,,,,,,,,,1,1,,,8,4,,,,,,,,,,,,,,,,,,,,,,,1,1,
"00-0034798","Durham Smythe",1,"TE","CHI","MIN",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9.0909,3,3,1,2,2,0,2,0,4,,0,"",0,,,,,0,0,,,,,,,,,,,,,,,,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0035631","Drew Sample",1,"TE","CIN","CLE",0,61,0,0,0,0,0,0,0,0,0,1,4.3478,0,0,2,0,1,0,36,69.2308,14,19,7,5,8,25,7,0,28,1,10,"",2.7778,0,,0,,0,0,,,,,,,,,,,,,,,0,6.7,6.14,7.11,7.17,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0034829","Mike Gesicki",1,"TE","CIN","CLE",2.4,42,0,0,0,0,0,0,0,0,0,3,13.0435,1,14,26,0,3,14,16,30.7692,8,7,5,,4,14,1,8,2,5,10,"DW-0850",18.75,2,1,2,,0,0,,,,,,,,,,,0,,0,14,0,5.8,5.38,6.29,6.2,,,1,,,,2,,,1,1,1,1,1,,0,0,14,,,,,,,,,,,,,,,,,,,,,,,1,,2
"00-0035644","Noah Fant",1,"TE","CIN","CLE",12.6,9,0,0,0,0,0,0,0,0,0,5,21.7391,4,26,2,1,5,26,26,50,13,13,2,5,7,18,3,3,19,1,13,"JB-0550",19.2308,0,0,5,1,0,0,,,,,,,,,,,3,,3,22,0,6.46,5.85,7.08,8,,,1,,,,1,,,1,1,4,,1,,25,,1,,,,,,,,,,,,,,,,,,,,,,,3,,2
"00-0038710","Blake Whiteheart",1,"TE","CLE","CIN",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.9474,1,2,1,,1,1,,0,2,1,1,"DH-0912",0,,,,,0,0,,,,,,,,,,,,,,,,6.67,5,7.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0033885","David Njoku",1,"TE","CLE","CIN",6.7,24,0,0,0,0,0,0,0,0,0,6,14.2857,3,37,41,0,6,37,64,84.2105,41,20,10,10,4,45,,11,44,9,39,"DH-0912",9.375,1,0,3,,1,0,,,,,,,,,,,10,,10,27,0,5.98,5.51,6.95,6.8,,,1,,,,,,,,,4,1,1,,20,17,0,,,,,,,,,,,,,,,,,,,,,,,2,1,3
"00-0040663","Harold Fannin Jr.",1,"TE","CLE","CIN",13.6,6,0,0,0,0,0,0,1,3,0,9,21.4286,7,63,65,0,10,66,55,72.3684,31,20,12,9,13,36,6,17,27,4,29,"DH-0912",16.3636,0,0,8,1,0,0,,,,,,,,,,,13,3,10,53,0,6.08,5.52,7,6.67,,,2,,,,1,,,,,2,5,2,,29,16,18,,,,,,,,,,1,,,,3,,,,,1,,1,,2,2,5
"00-0039530","Brevyn Spann-Ford",1,"TE","DAL","PHI",0,61,0,0,0,0,0,0,0,0,0,1,3.0303,0,0,26,0,1,0,10,16.6667,3,7,4,2,3,3,,2,7,1,3,"ZB-0075",10,0,,0,,1,0,,,,,,,,,,,,,,,0,7.2,6.67,7.43,7.5,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"00-0038041","Jake Ferguson",1,"TE","DAL","PHI",7.3,22,0,0,0,0,0,0,0,0,0,6,18.1818,5,23,35,0,6,23,46,76.6667,28,13,4,8,8,37,1,21,19,5,28,"ZB-0075",13.0435,1,0,5,,1,0,,,,,,,,,,,0,,0,23,0,6.17,6.07,6.38,7,,,,,,,,,,,,5,1,,,18,5,,,,,,,,,,,,,,,,,,,,,,,,2,1,3
"00-0038547","Luke Schoonmaker",1,"TE","DAL","PHI",0,61,0,0,0,0,0,0,0,0,0,1,3.0303,0,0,22,0,1,0,15,25,6,8,4,5,2,5,,2,13,,4,"ZB-0075",6.6667,1,,0,,1,0,,,,,,,,,,,,,,,0,6.93,6.83,7,7.67,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0036422","Adam Trautman",1,"TE","DEN","TEN",1.5,49,0,0,0,0,0,0,0,0,0,1,2.7778,1,5,5,0,1,5,42,56.7568,20,22,4,9,6,23,3,4,31,4,14,"AK-0337",2.381,0,0,1,,0,0,,,,,,,,,,,0,,0,5,0,6.14,5.95,6.32,6.5,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"00-0033881","Evan Engram",1,"TE","DEN","TEN",5.1,28,0,0,0,0,0,0,0,0,0,4,11.1111,3,21,10,0,4,21,26,35.1351,18,3,2,4,,24,1,12,13,,16,"AH-3625",15.3846,0,0,3,,0,0,,,,,,,,,,,1,,1,20,0,5.71,5.61,6.33,6,,,1,,,,,,,,,2,1,1,,6,5,10,,,,,,,,,,,,,,,,,,,,,,,1,1,2
"00-0037539","Lucas Krull",1,"TE","DEN","TEN",1.6,48,0,0,0,0,0,0,0,0,0,2,5.5556,1,6,9,0,2,6,20,27.027,9,11,0,3,,10,,6,14,,8,"AH-3625",10,0,0,1,,0,0,,,,,,,,,,,0,,0,6,0,6.1,5.89,6.27,,,,,,,,,,,,,1,,1,,6,,0,,,,,,,,,,,,,,,,,,,,,,,1,,1
"00-0036754","Brock Wright",1,"TE","DET","GB",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34.8485,10,13,2,5,1,3,3,1,19,,5,"QW-8305",0,,,,,0,0,,,,,,,,,,,,,,,,6.35,5.9,6.69,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0039065","Sam LaPorta",1,"TE","DET","GB",13.9,5,0,0,0,0,0,0,0,0,0,9,23.6842,6,79,45,0,9,79,60,90.9091,39,19,12,3,5,38,2,23,25,10,38,"CV-5555",15,0,0,6,,0,0,,,,,,,,,,,12,,12,58,1,5.78,5.49,6.37,5.5,,,2,,,,2,,,,,2,3,4,,7,47,25,,,,,,,,,,,,,,,,,,,,,,,4,2,3
"00-0036534","Shane Zylstra",1,"TE","DET","GB",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9.0909,1,4,0,,1,0,1,0,3,2,1,"CV-5555",0,,,,,0,0,,,,,,,,,,,,,,,,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0037306","John FitzPatrick",1,"TE","GB","DET",1.2,57,0,0,0,0,0,0,0,0,0,1,4.5455,1,2,2,0,1,2,13,27.6596,5,8,3,3,3,4,4,0,9,,3,"",7.6923,0,0,1,,0,0,,,,,,,,,,,1,,1,1,0,7,6.4,7.38,7,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,
"00-0039144","Luke Musgrave",1,"TE","GB","DET",1.4,53,0,0,0,0,0,0,0,0,0,1,4.5455,1,4,1,0,1,4,17,36.1702,4,13,4,1,1,6,,0,17,,4,"",5.8824,0,0,1,,0,0,,,,,,,,,,,1,,1,3,0,7.18,6.75,7.31,7.25,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0038996","Tucker Kraft",1,"TE","GB","DET",9.9,17,0,0,0,0,0,0,1,3,0,4,18.1818,2,16,51,1,5,19,44,93.617,21,22,13,6,6,28,1,6,36,1,18,"BB-0228",9.0909,0,0,2,,1,0,,,,,,,,,,,1,1,0,3,0,6.81,6.48,7.14,6.85,,,1,,,,1,,,,1,1,2,1,,1,0,15,,,,,,,,,,,1,,,,3,,,,,1,,1,2,1,1
"00-0039359","Cade Stover",1,"TE","HOU","LAR",6.2,25,0,0,0,0,0,0,0,0,0,4,14.8148,4,22,9,0,4,22,33,52.381,11,19,2,5,6,15,2,3,27,1,10,"CD-0110",12.1212,1,1,4,,0,0,,,,,,,,,,,0,,0,22,0,6.13,6.27,6.05,6.5,,,1,,,,,,,,,2,2,,,7,15,,,,,,,,,,,,,,,,,,,,,,,,1,,3
"00-0034383","Dalton Schultz",1,"TE","HOU","LAR",5.8,26,0,0,0,0,0,0,0,0,0,5,18.5185,3,28,25,0,5,28,38,60.3175,21,13,3,2,2,31,2,8,26,2,23,"KC-2675",13.1579,2,1,4,1,0,0,,,,,,,,,,,2,,2,26,0,5.76,5.81,5.69,6.33,,,2,,,,,,,,,,2,3,,,11,17,,,,,,,,,,,,,,,,,,,,,,,3,,2
"00-0037292","Drew Ogletree",1,"TE","IND","MIA",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38.3562,11,16,7,7,7,14,4,2,20,2,9,"JP-2146",0,,,,,0,0,,,,,,,,,,,,,,,,6.59,6.45,6.69,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0033217","Mo Alie-Cox",1,"TE","IND","MIA",3,38,0,0,0,0,0,0,0,0,0,1,3.4483,1,20,2,0,1,20,33,45.2055,15,17,6,9,,20,,3,30,,13,"TD-1625",3.0303,0,0,1,,0,0,,,,,,,,,,,4,,4,16,1,6.34,6.2,6.47,6.33,,,1,,,,,,,,,1,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"00-0040128","Tyler Warren",1,"TE","IND","MIA",14.9,3,0,0,0,0,0,0,1,3,0,9,31.0345,7,76,47,0,10,79,54,73.9726,25,26,15,8,2,40,3,13,33,5,27,"IM-4555",16.6667,2,0,7,,1,1,,,,,,,,,,,7,1,6,72,2,6.18,6.04,6.31,6.36,,1,4,,,,2,,,,1,3,3,3,,35,18,23,,,,,,,,,,,,1,,,,3,,,1,,1,,5,2,2
"00-0038935","Brenton Strange",1,"TE","JAX","CAR",9.9,17,0,0,0,0,0,0,0,0,0,4,13.7931,4,59,36,0,4,59,50,79.3651,21,28,10,4,8,27,1,9,39,1,20,"PU-2501",8,1,1,4,,0,0,,,,,,,,,,,6,,6,53,1,6.45,6.19,6.64,6.8,,,3,,,,,,,,,,2,2,,,25,34,,,,,,,,,,,,,,,,,,,,,,,1,2,1
"00-0037004","Hunter Long",1,"TE","JAX","CAR",7.6,21,0,0,0,0,0,0,0,0,0,1,3.4483,1,6,6,1,1,6,4,6.3492,2,2,3,1,,1,,0,4,,1,"",25,0,0,1,,0,0,,,,,,,,,,,,,,,0,7,6.5,7.5,7.33,,,,,,,1,,,,1,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0033246","Johnny Mundt",1,"TE","JAX","CAR",0,61,0,0,0,0,0,0,0,0,0,1,3.4483,0,0,-3,0,1,0,30,47.619,11,17,8,5,4,9,2,2,24,2,6,"CR-0114",3.3333,0,,0,,0,0,,,,,,,,,,,,,,,0,6.75,6.45,6.94,6.88,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0036637","Noah Gray",1,"TE","KC","LAC",1.3,55,0,0,0,0,0,0,0,0,0,1,2.6316,1,3,3,0,1,3,24,40,15,8,2,4,2,15,1,9,12,2,11,"TS-2402",4.1667,0,0,1,,0,0,,,,,,,,,,,0,,0,3,0,6,5.67,6.62,5,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0033757","Robert Tonyan",1,"TE","KC","LAC",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.6667,1,3,0,1,2,1,2,0,2,,0,"",0,,,,,0,0,,,,,,,,,,,,,,,,6.75,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0030506","Travis Kelce",1,"TE","KC","LAC",12.7,8,0,0,0,0,0,0,0,0,0,4,10.5263,2,47,24,1,4,47,52,86.6667,34,16,8,6,5,43,1,27,14,10,37,"DJ-0587",7.6923,0,0,3,,0,0,,,,,,,,,,,0,,0,10,0,5.62,5.35,6.19,5.5,,,2,,,,1,,,,,1,3,,,37,10,,,,,,,,,,,,,,,,,,,,,,,,1,2,1
"00-0034270","Tyler Conklin",1,"TE","LAC","KC",7.2,23,0,0,0,0,0,0,1,2,0,2,5.8824,2,50,28,0,3,52,24,38.0952,9,13,4,5,10,15,1,4,16,2,10,"DT-1912",8.3333,0,0,2,,0,0,,,,,,1,,,,,1,1,0,51,0,6.38,6,6.67,6.67,,1,2,,,,,,,,,2,,,,50,,,,,,,,,,,,,,1,,,,2,,,1,,1,,1,,1
"00-0034159","Will Dissly",1,"TE","LAC","KC",2.8,40,0,0,0,0,0,0,0,0,0,1,2.9412,1,18,5,0,1,18,33,52.381,20,12,7,5,3,21,,7,24,2,20,"DT-1912",3.0303,0,0,1,,0,0,,,,,,,,,,,0,,0,18,0,6.16,6.1,6.25,6.67,,,1,,,,,,,,,1,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0036244","Colby Parkinson",1,"TE","LAR","HOU",-0.6,99,0,0,0,0,0,0,0,0,0,2,7.1429,2,-6,0,0,2,-6,27,46.5517,12,14,5,8,4,3,,1,22,4,10,"DS-1528",7.4074,0,0,2,,0,0,,,,,,1,,,,,4,,4,-10,0,6.46,6.67,6.29,6.8,,,,,,,1,,,,,2,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"00-0039074","Davis Allen",1,"TE","LAR","HOU",8.3,19,0,0,0,0,0,0,0,0,0,2,7.1429,1,13,35,1,2,13,22,37.931,11,10,5,6,3,4,,0,19,3,11,"KL-2401",9.0909,0,0,2,1,1,0,,,,,,,,,,,,,,,0,6.62,6.82,6.4,6.8,,,1,,,,1,,,,1,1,1,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,
"00-0033110","Tyler Higbee",1,"TE","LAR","HOU",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,56.8966,21,10,4,5,6,17,2,4,21,6,20,"KL-2401",0,,,,,0,0,,,,,,,,,,,,,,,,6.45,6.57,6.2,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0039338","Brock Bowers",1,"TE","LV","NE",15.3,2,0,0,0,0,0,0,0,0,0,8,24.2424,5,103,80,0,8,103,31,50.8197,25,5,3,7,4,26,2,6,14,9,24,"CD-0687",25.8065,0,0,6,,2,1,,,,,,,,,,,9,,9,94,0,5.7,5.48,6.8,7,,,4,,,,,,,,,5,2,1,,96,7,0,,,,,,,,,,,,,,,,,,,,,,,2,4,2
"00-0034365","Ian Thomas",1,"TE","LV","NE",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32.7869,7,13,1,5,1,8,,0,20,,1,"",0,,,,,0,0,,,,,,,,,,,,,,,,6.7,6.14,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0039066","Michael Mayer",1,"TE","LV","NE",7.8,20,0,0,0,0,0,0,0,0,0,4,12.1212,4,38,14,0,4,38,38,62.2951,21,16,3,8,1,23,4,4,30,,16,"RS-2475",10.5263,0,0,4,,0,0,,,,,,,,,,,7,,7,31,0,6.38,5.95,6.94,7,,,3,,,,1,,,,,1,1,1,1,11,7,12,8,,,,,,,,,,,,,,,,,,,,,,2,1,1
"00-0038720","Julian Hill",1,"TE","MIA","IND",2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,57.4468,16,10,3,4,5,17,2,4,20,1,10,"KM-2650",0,,,,,0,0,,,,,,,,,,,,,,,,6.04,5.88,6.3,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0037348","Tanner Conner",1,"TE","MIA","IND",4,33,0,0,0,0,0,0,0,0,0,4,13.7931,2,20,27,0,4,20,28,59.5745,21,6,5,3,5,23,3,12,7,6,19,"XH-0100",14.2857,0,0,2,,0,0,,,,,,,,,,,1,,1,19,0,5.89,5.76,6.33,6.25,,,1,,,,1,,,,1,1,,2,1,6,,14,0,,,,,,,,,,,,,,,,,,,,,,1,2,1
"00-0040509","Ben Yurosek",1,"TE","MIN","CHI",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17.8571,2,5,1,2,2,1,,1,9,,1,"",0,,,,,0,0,,,,,,,,,,,,,,,,6.29,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0035249","Josh Oliver",1,"TE","MIN","CHI",1.5,49,0,0,0,0,0,0,0,0,0,1,5,1,5,-3,0,1,5,28,50,6,18,4,6,5,3,,2,26,,5,"JB-6162",3.5714,0,0,1,,0,0,,,,,,,,,,,4,,4,1,0,6,6.33,5.89,6,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0035229","T.J. Hockenson",1,"TE","MIN","CHI",4.5,31,0,0,0,0,0,0,0,0,0,4,20,3,15,13,0,4,15,45,80.3571,21,19,7,9,8,20,1,7,30,7,18,"JB-6162",8.8889,0,0,3,,0,0,,,,,,,,,,,2,,2,13,0,5.8,5.86,5.74,6,,,,,,,,,,,,2,2,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,2,,2
"00-0032392","Austin Hooper",1,"TE","NE","LV",2,44,0,0,0,0,0,0,0,0,0,1,2.2222,1,10,3,0,1,10,22,30.9859,13,7,3,7,,11,,0,21,1,8,"KK-0333",4.5455,0,0,1,,0,0,,,,,,,,,,,3,,3,7,0,6.7,6,8,7.67,,,1,,,,1,,,,,,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0033090","Hunter Henry",1,"TE","NE","LV",10.6,15,0,0,0,0,0,0,0,0,0,8,17.7778,4,66,117,0,8,66,66,92.9577,45,18,6,9,7,52,2,15,40,9,37,"DW-2375",12.1212,0,0,6,,2,0,,,,,,,,,,,4,,4,62,0,6.27,5.84,7.33,6.67,,,3,,,,,,,,,6,2,,,20,46,,,,,,,,,,,,,,,,,,,,,,,,3,2,3
"00-0036741","Jack Stoll",1,"TE","NO","ARI",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24.6575,8,9,2,1,4,13,2,1,15,,4,"MW-3150",0,,,,,0,0,,,,,,,,,,,,,,,,5.94,6.25,5.67,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0036040","Juwan Johnson",1,"TE","NO","ARI",15.6,1,0,0,0,0,0,0,0,0,0,11,26.8293,8,76,89,0,11,76,72,98.6301,44,22,9,3,9,67,3,31,29,9,39,"JT-2250",15.2778,4,2,10,1,1,1,,,,,,,,,,,10,,10,66,0,5.38,5.41,5.32,5,,,4,,,,2,,,,1,3,5,3,,16,43,17,,,,,,,,,,,,,,,,,,,,,,,4,2,5
"00-0040244","Moliki Matavao",1,"TE","NO","ARI",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3699,0,1,0,,1,0,,0,1,,0,"",0,,,,,0,0,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0031484","Chris Manhertz",1,"TE","NYG","WAS",0,61,0,0,0,0,0,0,0,0,0,1,3.0303,0,0,0,0,1,0,19,27.9412,7,11,5,9,,5,,1,18,,5,"",5.2632,,,,,0,0,,,,,,,,,,,,,,,,6.61,6.86,6.45,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0038115","Daniel Bellinger",1,"TE","NYG","WAS",2.4,42,0,0,0,0,0,0,0,0,0,1,3.0303,1,14,14,0,1,14,15,22.0588,9,6,5,4,3,11,2,3,10,,8,"BW-0150",6.6667,1,1,1,,0,0,,,,,,,,,,,0,,0,14,0,6.47,6.44,6.5,6.8,,,1,,,,1,,,,,,1,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,1,
"00-0039847","Theo Johnson",1,"TE","NYG","WAS",1.5,49,0,0,0,0,0,0,0,0,0,3,9.0909,1,5,-2,0,3,5,52,76.4706,31,15,9,10,6,38,,20,26,6,30,"WH-0250",5.7692,0,0,3,2,0,0,,,,,,,,,,,1,,1,4,0,5.87,5.71,6.2,6.88,,,,,,,1,,,,,,2,1,,,5,0,,,,,,,,,,,,,,,,,,,,,,,2,,1
"00-0037805","Jeremy Ruckert",1,"TE","NYJ","PIT",3.6,36,0,0,0,0,0,0,0,0,0,2,9.5238,2,16,14,0,2,16,29,45.3125,9,19,7,2,4,18,1,2,23,3,7,"JP-0225",6.8966,0,0,2,,0,0,,,,,,,,,,,1,,1,15,0,7.11,7,7.16,7.83,,,1,,,,,,,,,,,2,,,,16,,,,,,,,,,,,,,,,,,,,,,,,2,
"00-0040736","Mason Taylor",1,"TE","NYJ","PIT",3,38,0,0,0,0,0,0,0,0,0,1,4.7619,1,20,18,0,1,20,56,87.5,21,33,12,5,7,42,1,8,45,2,22,"PQ-0100",1.7857,0,0,1,,0,0,,,,,,,,,,,0,,0,20,0,6.8,6.57,6.94,7.3,,,1,,,,,,,,,1,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"00-0034351","Dallas Goedert",1,"TE","PHI","DAL",11.4,14,0,0,0,0,0,0,0,0,0,7,35,7,44,34,0,7,44,47,79.661,22,25,7,7,,36,1,14,27,5,28,"DW-4075",14.8936,0,0,7,,0,0,,,,,,,,,,,3,,3,41,0,6.66,6.32,6.96,6.43,,,2,,,,,,,,,3,2,2,,19,9,16,,,,,,,,,,,,,,,,,,,,,,,3,3,1
"00-0037086","Grant Calcaterra",1,"TE","PHI","DAL",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,57.6271,8,26,4,5,2,24,,9,22,3,10,"DW-4075",0,,,,,0,0,,,,,,,,,,,,,,,,6.85,6.75,6.88,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00-0036876","Kylen Granson",1,"TE","PHI","DAL",1.1,60,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0,1,1,14,23.7288,4,10,0,1,5,10,2,2,8,2,3,"SW-0111",7.1429,0,0,1,,0,0,,,,,,,,,,,,,,,0,6.86,6.75,6.9,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"00-0037304","Connor Heyward",1,"TE","PIT","NYJ",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.4545,2,1,1,2,2,0,2,0,,1,0,"AC-1663",0,,,,,0,0,,,,,,,,,,,,,,,,7.33,7.5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
