Team,QB,RB,WR,TE,K,DST
CLE,-1.3281048463587,-6.379630547349377,-1.3304755787307734,-2.3043507137669024,-3.090554875882178,29.342360377678755
TEN,-0.895896331536895,4.999639243728438,1.32199260822365,-1.4342956505650863,1.9707609272468194,30.372720981740507
NYG,-0.7784730782376992,7.183477909739231,2.9546435594268066,-0.7978833787733163,1.9598660258183263,18.00070119007357
LV,1.2723827137207318,-2.268953181122285,0.8521607182289985,0.5974202500257062,3.1584076210317678,18.16462396305049
NE,-1.1620467386852023,2.556372273222492,0.25718142567528407,-2.4456939617860307,-1.6119562026762326,23.88270676664988
NYJ,-2.117277428892343,-0.9563586300818305,-3.313927176027017,0.34729210225081364,6.891755368894627,12.569091013101797
CHI,0.1072927893976452,5.528464233034447,-2.115019274253881,1.2306985920041982,1.2790570427372037,3.3696210658875985
CAR,1.0640716586307952,8.181402165734244,-0.4420872487105893,0.8595599859119275,2.7693977911606646,6.626417190384924
SEA,-3.01418231440566,1.2122450534224953,-2.3903702593867053,3.4146980226258026,-2.8259083378005365,3.2502606335451802
MIN,-3.9202124217899157,-1.8264805525834955,1.7842853315089626,-1.6387719296735332,1.4769439664256545,8.49766871432847
MIA,2.2831499217798945,-0.039226193988591194,-0.6040432672868672,4.384510584913725,1.1053718676842783,8.877886272537802
NO,-0.2797572548958567,3.4928753278573104,0.6750190798239181,-2.4290016987474763,1.3715318226457125,6.829480756108253
IND,0.8024251919607739,1.9506152087372428,0.18389668680712837,1.2824371201980758,0.7253658115753653,-12.140124928216684
DAL,6.721383578707026,-0.16484063870740592,5.131718887570549,-1.3421099258092175,0.364896198059509,0.36572237707083244
JAX,4.006789744952062,0.5690217738064219,2.384350589378685,-0.07252932019873194,0.05278063855718868,-4.725156027916798
DEN,-1.953983442555654,1.6267580282929073,-1.2860832078172486,0.8965108210425414,3.972313227989728,-9.51043075097686
HOU,-0.679334944940097,0.14009546664504727,-0.7016058969065182,0.2464139604423099,-1.4987920194429405,7.97539785201334
PHI,-2.067127646117121,-6.15742131810986,-0.9392377517593842,-3.4394154414969194,-2.62681471036619,-15.464959416421214
ATL,3.396603728714881,-2.437398629377806,-0.456469001969637,-2.845086448647507,2.4989891670179154,7.3322073988346546
LAC,-0.6359255829315027,-4.882732660117571,0.019200312447108465,-2.669530022087761,-1.3719793814653605,-9.826832518315662
LA,0.42952830710554346,-7.994332502161922,1.7371656363254366,1.1006703913416946,1.9403709016757635,-3.6255923878818983
CIN,2.260293610638774,5.532088118662912,-0.63142477401312,6.266401968122431,0.8354068111953163,14.364678997322242
TB,5.457519437391979,-5.5702565316866774,2.8460063463186325,1.766784566982048,0.1492220793170155,-10.80007190594048
KC,-2.1423028219377964,-5.134933107213275,-3.0409224741736662,-0.37304047549735053,-5.784707255778265,-16.296558098268747
ARI,0.48444578020928764,5.33962053540088,-0.1706428240237543,-1.321304146702892,1.3526198766367543,-4.950365600150704
GB,-6.218804676010441,-1.8024736797343222,-3.44969702326347,1.622183351458046,-3.415126182992012,-14.416542642727222
WAS,2.325322683393788,-2.4022482619936993,1.2665524026820347,0.14851403721285233,0.8428656021141494,-11.089304165042497
PIT,-1.6150375134371848,-2.7040593482561324,-0.7331921022115715,4.027776440497067,-1.954676436205376,4.5154913068533284
DET,4.7886184746329885,-4.337811844945288,2.7057674204262865,0.05521971380149039,-1.6776236548742658,-25.619017502034
SF,-4.2622140942122115,1.0139805524898333,-1.9581840608219812,-2.416821453680712,-1.1116368208626377,-3.9410798291405924
BUF,-2.038674362344092,1.501217208037484,-0.20201401712358846,-4.065210507575552,-5.456780642834605,-33.76787407610118
BAL,-0.2904721219463875,4.231284528618426,-0.35454506636247984,1.3479531661779343,-2.29136622660231,-28.163127008046146
