"Player","Team","Position","DK Projection","FD Projection","Std","Half","Full","Slate","DK Ceiling","FD Ceiling"
"Samaje Perine","CIN","RB","3.6","2.9","2.3","2.9","3.6","Monday","9.0","7.8"
"Isaac TeSlaa","DET","WR","3.5","2.9","2.3","2.9","3.5","Main","9.5","8.3"
"Tutu Atwell","LA","WR","3.5","2.9","2.3","2.9","3.4","Main","9.3","8.2"
"Kalif Raymond","DET","WR","3.4","2.8","2.2","2.8","3.4","Main","9.4","8.2"
"Gunnar Helm","TEN","TE","3.4","2.7","1.9","2.7","3.4","Main","8.1","6.6"
"Brycen Tremayne","CAR","WR","3.2","2.6","1.9","2.6","3.2","Main","8.4","7.1"
"Colston Loveland","CHI","TE","3.2","2.6","1.9","2.6","3.2","Main","8.3","7.0"
"Antonio Gibson","NE","RB","3.2","3.0","2.8","3.0","3.2","Main","8.5","8.1"
"Tyler Johnson","NYJ","WR","3.2","2.5","1.9","2.5","3.1","Monday","8.3","7.0"
"Jahan Dotson","PHI","WR","3.1","2.5","1.9","2.5","3.1","Main","8.5","7.2"
"Elijah Arroyo","SEA","TE","3.1","2.5","1.8","2.5","3.1","Thursday","7.9","6.6"
"Darren Waller","MIA","TE","3.0","2.4","1.8","2.4","2.9","Monday","7.7","6.5"
"Ryan Flournoy","DAL","WR","2.9","2.3","1.8","2.3","2.9","Sunday","7.7","6.6"
"Nick Westbrook-Ikhine","MIA","WR","2.9","2.4","1.8","2.4","2.9","Monday","7.8","6.8"
"Tez Johnson","TB","WR","2.9","2.4","1.9","2.4","2.9","Main","8.2","7.1"
"Tip Reiman","ARI","TE","2.8","2.2","1.5","2.2","2.8","Thursday","7.2","5.9"
"Tre' Harris","LAC","WR","2.8","2.3","1.8","2.3","2.8","Main","8.0","6.9"
"Kyle Juszczyk","SF","RB","2.8","2.2","1.6","2.2","2.8","Main","7.5","6.2"
"Luke Schoonmaker","DAL","TE","2.7","2.2","1.6","2.2","2.7","Sunday","7.0","5.8"
"Tyler Conklin","LAC","TE","2.7","2.2","1.6","2.2","2.7","Main","7.1","5.9"
"Adam Thielen","MIN","WR","2.6","2.0","1.5","2.0","2.5","Other","7.2","6.0"
"Mitchell Evans","CAR","TE","2.5","2.0","1.5","2.0","2.5","Main","6.8","5.6"
"Jayden Higgins","HOU","WR","2.5","2.1","1.6","2.1","2.5","Main","7.3","6.3"
"Will Shipley","PHI","RB","2.5","2.2","1.8","2.2","2.5","Main","8.0","7.4"
"Luke Farrell","SF","TE","2.5","2.0","1.5","2.0","2.5","Main","6.8","5.7"
"Dylan Sampson","CLE","RB","2.3","1.9","1.6","1.9","2.3","Main","6.4","5.6"
"Emanuel Wilson","GB","RB","2.3","2.2","2.1","2.2","2.3","Sunday","6.8","6.6"
"John FitzPatrick","GB","TE","2.3","1.9","1.4","1.9","2.3","Sunday","6.6","5.6"
"Hassan Haskins","LAC","RB","2.3","2.2","2.0","2.1","2.3","Main","6.9","6.6"
"Davis Allen","LA","TE","2.3","1.9","1.4","1.9","2.3","Main","6.6","5.7"
"Tanner Conner","MIA","TE","2.3","1.9","1.4","1.9","2.3","Monday","6.5","5.5"
"Ryan Miller","TB","WR","2.3","1.9","1.5","1.9","2.3","Main","6.8","5.9"
"Adam Trautman","DEN","TE","2.2","1.7","1.3","1.7","2.2","Monday","6.2","5.2"
"Chris Brooks","GB","RB","2.2","1.8","1.3","1.8","2.2","Sunday","6.2","5.2"
"LeQuint Allen","JAX","RB","2.2","1.8","1.4","1.8","2.2","Main","6.3","5.4"
"NO DST","NO","DST","2.2","2.2","2.2","2.2","2.2","Main","8.2","8.2"
"Drew Sample","CIN","TE","2.1","1.6","1.0","1.6","2.1","Monday","5.6","4.4"
"Trent Sherfield","DEN","WR","2.0","1.6","1.3","1.6","2.0","Monday","6.2","5.3"
"Dylan Laube","LV","RB","2.0","1.6","1.3","1.6","2.0","Main","5.8","4.9"
"Luke Musgrave","GB","TE","1.9","1.5","1.1","1.5","1.9","Sunday","5.5","4.6"
"Lucas Krull","DEN","TE","1.8","1.4","1.0","1.4","1.8","Monday","5.4","4.5"
"Brashard Smith","KC","RB","1.8","1.5","1.3","1.5","1.8","Main","5.6","5.0"
"Julian Hill","MIA","TE","1.8","1.4","1.0","1.4","1.8","Monday","5.2","4.2"
"Josh Oliver","MIN","TE","1.8","1.4","1.1","1.4","1.8","Other","5.4","4.4"
"Devaughn Vele","NO","WR","1.8","1.4","1.0","1.4","1.8","Main","5.4","4.4"
"Jeremy Ruckert","NYJ","TE","1.8","1.4","1.0","1.4","1.8","Monday","5.3","4.3"
"Elijah Higgins","ARI","TE","1.7","1.4","1.0","1.4","1.7","Thursday","5.2","4.3"
"Tylan Wallace","BAL","WR","1.7","1.4","1.1","1.4","1.7","Main","5.6","4.8"
"Savion Williams","GB","WR","1.7","1.6","1.5","1.6","1.7","Sunday","6.8","6.5"
"Malik Heath","GB","WR","1.7","1.4","1.1","1.4","1.7","Sunday","5.4","4.7"
"Roman Wilson","PIT","WR","1.7","1.4","1.0","1.4","1.7","Other","5.3","4.5"
"Darnell Washington","PIT","TE","1.7","1.4","1.0","1.4","1.7","Other","5.2","4.3"
"Tyler Badie","DEN","RB","1.6","1.3","1.0","1.3","1.6","Monday","5.0","4.2"
"Harrison Bryant","HOU","TE","1.6","1.2","0.9","1.2","1.6","Main","4.9","4.1"
"Ashton Dulin","IND","WR","1.6","1.3","1.0","1.3","1.6","Main","5.1","4.3"
"Colby Parkinson","LA","TE","1.6","1.2","0.9","1.2","1.5","Main","4.9","4.0"
"Isaiah Davis","NYJ","RB","1.6","1.3","1.0","1.3","1.6","Monday","4.8","4.0"
"Casey Washington","ATL","WR","1.5","1.2","0.9","1.2","1.5","Main","4.8","4.1"
"Jamari Thrash","CLE","WR","1.5","1.2","0.9","1.2","1.5","Main","4.7","3.9"
"Mo Alie-Cox","IND","TE","1.5","1.2","0.9","1.2","1.5","Main","4.8","4.0"
"Hunter Long","JAX","TE","1.5","1.2","0.9","1.2","1.5","Main","4.6","3.8"
"Jack Bech","LV","WR","1.5","1.2","0.9","1.2","1.5","Main","5.0","4.2"
"Tyrell Shavers","BUF","WR","1.4","1.2","0.9","1.2","1.4","Main","5.0","4.3"
"Pat Bryant","DEN","WR","1.4","1.1","0.9","1.1","1.4","Monday","4.5","3.8"
"Alec Ingold","MIA","RB","1.4","1.1","0.9","1.1","1.4","Monday","4.4","3.7"
"Brock Wright","DET","TE","1.3","1.0","0.7","1.0","1.3","Main","4.2","3.5"
"Tucker Fisk","LAC","TE","1.3","1.0","0.8","1.0","1.3","Main","4.2","3.5"
"Julius Chestnut","TEN","RB","1.3","1.2","1.0","1.2","1.3","Main","4.3","3.9"
"Jaylin Noel","HOU","WR","1.2","1.0","0.8","1.0","1.2","Main","4.2","3.5"
"Ian Thomas","LV","TE","1.2","1.0","0.7","1.0","1.2","Main","4.1","3.4"
"Van Jefferson","TEN","WR","1.2","0.9","0.7","0.9","1.2","Main","4.1","3.4"
"DJ Giddens","IND","RB","1.1","1.0","0.9","1.0","1.1","Main","4.3","4.1"
"Johnny Mundt","JAX","TE","1.1","0.9","0.6","0.9","1.1","Main","3.7","3.0"
