"Year","Player","Opportunities","% of Routes","1st Contact Drop","1 Broken Tackle","2+ Broken Tackle"
"2023","Adonai Mitchell","19","7.2","68.4","31.6","0.0"
"2023","Brian Thomas Jr.","25","8.9","48.0","40.0","12.0"
"2023","Ja'Lynn Polk*","13","7.6","53.8","30.8","15.4"
"2023","Jalen McMillan*","21","11.9","76.2","19.0","4.8"
"2023","Javon Baker","14","6.4","64.3","14.3","21.4"
"2023","Jermaine Burton","11","5.6","63.6","27.3","9.1"
"2023","Keon Coleman","19","7.8","52.6","26.3","21.1"
"2023","Ladd McConkey","16","12.0","50.0","18.8","31.3"
"2023","Malik Nabers","39","13.9","48.7","30.8","20.5"
"2023","Marvin Harrison Jr.","18","7.6","44.4","50.0","5.6"
"2023","Ricky Pearsall","29","10.3","65.5","31.0","3.4"
"2023","Roman Wilson","17","10.4","88.2","11.8","0.0"
"2023","Rome Odunze","30","10.5","43.3","50.0","6.7"
"2023","Troy Franklin","23","10.0","60.9","39.1","0.0"
"2023","Xavier Legette*","14","8.8","57.1","35.7","7.1"
"2023","Xavier Worthy","32","12.2","71.9","21.9","6.3"
