"Year","Player","man atts.","Success Rate vs. Man","zone atts.","Success Rate vs. Zone","dbl atts.","Success Rate vs. Double","press atts.","Success Rate vs. Press","Routes","% Press","% Man","% Zone","% Doubled"
"2021","A.T. Perry*","99","68.7","53","69.8","20","60.0","41","70.7","152","27.0","65.1","34.9","13.2"
"2021","Cedric Tillman*","111","68.5","61","78.7","3","33.3","57","64.9","172","33.1","64.5","35.5","1.7"
"2022","Jalin Hyatt","150","68.0","121","69.4","22","45.5","13","53.8","271","4.8","55.4","44.6","8.1"
"2021","Jaxon Smith-Njigba*","108","75.0","140","81.4","10","50.0","12","83.3","248","4.8","43.5","56.5","4.0"
"2022","Jayden Reed*","64","70.3","96","79.2","12","58.3","27","77.8","160","16.9","40.0","60.0","7.5"
"2022","Jonathan Mingo","85","65.9","104","76.9","20","50.0","26","65.4","189","13.8","45.0","55.0","10.6"
"2022","Jordan Addison","101","71.3","115","80.0","15","73.3","47","51.1","216","21.8","46.8","53.2","6.9"
"2022","Josh Downs","145","75.2","181","80.7","38","50.0","26","76.9","326","8.0","44.5","55.5","11.7"
"2022","Marvin Mims*","54","72.2","85","76.5","7","14.3","5","60.0","139","3.6","38.8","61.2","5.0"
"2022","Quentin Johnston","103","74.8","103","72.8","19","42.1","33","69.7","206","16.0","50.0","50.0","9.2"
"2022","Rashee Rice*","94","45.7","88","70.5","23","21.7","41","48.8","182","22.5","51.6","48.4","12.6"
"2022","Tank Dell","83","68.7","178","78.7","7","42.9","23","73.9","261","8.8","31.8","68.2","2.7"
"2022","Xavier Hutchinson*","57","61.4","69","76.8","9","33.3","16","50.0","126","12.7","45.2","54.8","7.1"
"2022","Zay Flowers","119","73.1","186","80.6","39","51.3","33","72.7","305","10.8","39.0","61.0","12.8"
