"Year","Player","Snaps","Outside","LWR","RWR","Slot","Backfield","Behind LOS","On LOS"
"2021","A.T. Perry*","285","93.3","60.4","33.0","6.7","0.0","2.8","97.2"
"2021","Cedric Tillman*","443","91.0","0.2","90.7","7.9","1.1","13.3","86.7"
"2022","Jalin Hyatt","517","8.9","3.5","5.4","89.2","1.9","91.1","8.9"
"2021","Jaxon Smith-Njigba*","431","14.6","6.5","8.1","82.8","2.6","80.3","19.7"
"2022","Jayden Reed*","293","68.3","30.0","38.2","25.9","5.8","52.6","47.4"
"2022","Jonathan Mingo","463","69.5","65.2","4.3","25.1","5.4","44.7","55.3"
"2022","Jordan Addison","391","72.4","4.6","67.8","24.8","2.8","41.7","58.3"
"2022","Josh Downs","486","17.5","16.5","1.0","73.7","8.8","82.7","17.3"
"2022","Marvin Mims*","346","46.5","36.7","9.8","50.9","2.6","42.2","57.8"
"2022","Quentin Johnston","449","82.4","81.1","1.3","15.4","2.2","24.9","75.1"
"2022","Rashee Rice*","323","84.5","0.9","83.6","14.2","1.2","29.4","70.6"
"2022","Tank Dell","457","36.5","10.9","25.6","58.6","4.8","75.5","24.5"
"2022","Xavier Hutchinson*","202","74.8","40.6","34.2","25.2","1.0","35.6","65.3"
"2022","Zay Flowers","459","65.6","26.6","39.0","29.2","5.2","58.2","41.8"
