"Year","Player","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"2021","A.T. Perry*","152","N/A","83.3","77.8","64.3","78.6","46.9","83.3","100.0","0.0","50.0","50.0"
"2021","Cedric Tillman*","172","100.0%","78.9","80.6","50.0","81.3","51.4","75.0","62.5","100.0","0.0","0.0"
"2022","Jalin Hyatt","271","96.2%","59.4","72.7","47.7","63.6","73.3","0.0","63.6","20.0","91.3","83.3"
"2021","Jaxon Smith-Njigba*","248","100.0%","89.1","64.0","75.9","71.4","64.3","69.2","93.3","75.0","90.9","75.0"
"2022","Jayden Reed*","160","100.0%","76.0","84.8","84.6","60.0","45.2","64.3","100.0","0.0","88.9","100.0"
"2022","Jonathan Mingo","189","100.0%","80.0","83.1","56.5","68.2","48.5","50.0","87.5","0.0","100.0","0.0"
"2022","Jordan Addison","216","95.8%","92.3","82.9","89.5","71.4","45.2","72.7","58.3","100.0","100.0","50.0"
"2022","Josh Downs","326","100.0%","80.8","79.5","69.2","68.6","57.1","71.4","86.7","83.3","80.9","78.6"
"2022","Marvin Mims*","139","100.0%","80.0","73.9","60.0","76.0","65.2","71.4","75.0","33.3","87.5","75.0"
"2022","Quentin Johnston","206","95.0%","85.7","67.5","66.7","72.7","61.1","77.8","75.0","66.7","100.0","33.3"
"2022","Rashee Rice*","182","100.0%","71.4","53.8","50.0","62.5","44.0","20.0","75.0","50.0","100.0","100.0"
"2022","Tank Dell","261","100.0%","75.7","78.3","65.4","75.0","59.1","61.9","75.0","100.0","87.2","66.7"
"2022","Xavier Hutchinson*","126","100.0%","81.3","62.5","42.9","71.4","40.9","60.0","62.5","87.5","100.0","75.0"
"2022","Zay Flowers","305","100.0%","78.8","85.0","71.4","75.9","64.0","61.5","75.0","66.7","90.9","92.9"
