"Year","Player","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"2023","Adonai Mitchell","264","0.8","18.2","14.4","19.3","10.2","20.8","4.5","7.2","0.8","2.3","1.5"
"2023","Brian Thomas Jr.","280","1.4","20.0","29.3","12.1","8.9","17.9","5.0","2.5","0.7","1.1","1.1"
"2023","Ja'Lynn Polk*","172","4.7","23.8","19.8","7.6","8.1","12.2","5.8","5.8","4.1","7.0","1.2"
"2023","Jalen McMillan*","177","2.8","19.8","15.3","6.8","11.9","14.1","5.6","7.3","2.3","11.9","2.3"
"2023","Javon Baker","219","3.2","9.6","22.4","9.6","6.8","35.6","3.7","8.2","0.0","0.0","0.9"
"2023","Jermaine Burton","198","1.0","11.1","14.1","14.6","9.6","21.7","7.6","10.6","3.0","4.5","2.0"
"2023","Keon Coleman","245","8.6","18.0","20.8","10.6","9.8","15.1","4.9","4.1","2.9","2.9","2.4"
"2023","Ladd McConkey","133","9.8","15.8","13.5","11.3","14.3","12.0","3.8","13.5","1.5","1.5","3.0"
"2023","Malik Nabers","281","3.9","11.4","23.5","10.3","10.0","18.5","4.6","10.0","2.5","3.2","2.1"
"2023","Marvin Harrison Jr.","238","1.7","22.7","16.0","11.3","10.1","20.2","7.1","2.9","2.9","2.9","2.1"
"2023","Ricky Pearsall","281","10.3","20.3","13.2","12.5","9.6","6.8","9.3","6.4","2.5","5.3","3.9"
"2023","Roman Wilson","164","0.6","15.2","7.9","9.1","15.2","17.1","8.5","9.8","0.6","12.8","3.0"
"2023","Rome Odunze","286","5.6","16.4","17.1","9.8","10.8","17.8","5.9","7.3","2.4","3.1","3.5"
"2023","Troy Franklin","229","4.8","26.2","17.9","9.6","14.0","14.8","5.2","3.1","1.7","0.9","1.7"
"2023","Xavier Legette*","160","5.0","19.4","13.8","8.1","10.6","15.6","7.5","10.6","1.9","4.4","3.1"
"2023","Xavier Worthy","262","7.3","21.0","12.2","11.1","14.5","12.2","6.5","8.0","1.1","3.4","2.7"
