"Year","Player","Total Routes","Route Target Rate","Route Catch Rate","Targets","Catch Rate","Drop Rate"
"2021","A.T. Perry*","152","25.7","19.1","39","74.4","5.1"
"2021","Cedric Tillman*","172","31.4","24.4","54","77.8","3.7"
"2022","Jalin Hyatt","271","22.9","16.6","62","72.6","0.0"
"2021","Jaxon Smith-Njigba*","248","30.6","24.6","76","80.3","6.6"
"2022","Jayden Reed*","160","33.8","22.5","54","66.7","5.6"
"2022","Jonathan Mingo","189","26.5","18.5","50","70.0","2.0"
"2022","Jordan Addison","216","29.6","20.4","64","68.8","4.7"
"2022","Josh Downs","326","27.3","21.8","89","79.8","1.1"
"2022","Marvin Mims*","139","31.7","17.3","44","54.5","9.1"
"2022","Quentin Johnston","206","34.5","21.8","71","63.4","8.5"
"2022","Rashee Rice*","182","32.4","17.6","59","54.2","5.1"
"2022","Tank Dell","261","28.7","21.5","75","74.7","2.7"
"2022","Xavier Hutchinson*","126","36.5","23.8","46","65.2","6.5"
"2022","Zay Flowers","305","28.9","17.7","88","61.4","9.1"
