"Year","Player","Targets","Contested targets","Contested Target Rate","Contested Catch Rate"
"2021","A.T. Perry*","39","10","25.6","80.0"
"2021","Cedric Tillman*","54","11","20.4","90.9"
"2022","Jalin Hyatt","62","6","9.7","33.3"
"2021","Jaxon Smith-Njigba*","76","13","17.1","84.6"
"2022","Jayden Reed*","54","14","25.9","64.3"
"2022","Jonathan Mingo","50","12","24.0","75.0"
"2022","Jordan Addison","64","9","14.1","77.8"
"2022","Josh Downs","89","16","18.0","93.8"
"2022","Marvin Mims*","44","11","25.0","72.7"
"2022","Quentin Johnston","71","13","18.3","46.2"
"2022","Rashee Rice*","59","16","27.1","56.3"
"2022","Tank Dell","75","13","17.3","53.8"
"2022","Xavier Hutchinson*","46","9","19.6","55.6"
"2022","Zay Flowers","88","7","8.0","71.4"
