O-D,Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Injury Detail,Surgery,Recovery Timetable,Injured Reserve,IR from Previous inj.
O,Anthony Richardson,AR-0222,Indianapolis Colts,Concussion,head,upper body,Low Severity,Week 2,2023,1,1,,,,,
O,Joe Burrow,JB-8050,Cincinnati Bengals,Calf Strain,leg,lower body,Medium Severity,Preseason,2023,,4,,,,,
O,Brandon Aiyuk,BA-0175,San Francisco 49ers,AC Joint Sprain ,shoulder,upper body,Medium Severity,Week 2,2023,1,2,,,,,
O ,Jaylen Waddle,JW-9961,Miami Dolphins,Concussion,head,upper body,Low Severity,Week 2,2023,1,1,,,,,
O,Derek Carr,DC-0725,New Orleans Saints,AC Joint Sprain ,shoulder,upper body,Medium Severity,Week 3,2023,,2,,,,,
O,Mike Williams,MW-2825,Los Angeles Chargers,Torn ACL,knee,lower body,High Severity,Week 3,2023,14,,,,,,
O,David Bakhtiari,DB-0350,Green Bay Packers,ACL recovery,knee,lower body,High Severity,Week 4,2023,13,2,,,,Yes,
O,Odell Beckham,OB-0075,Baltimore Ravens,Undisclosed injury,ankle,lower body,Medium Severity,Week 3,2023,2,3,,,,,
O,Laremy Tunsil,LT-0950,Houston Texans,Undisclosed injury,knee,lower body,Medium Severity,Week 2,2023,3,5,,,,,
O,Tyler Biadasz,TB-1193,Dallas Cowboys,Hamstring Strain,leg,lower body,Medium Severity,Week 3,2023,1,2,,,,,
O,Zack Martin,ZM-0050,Dallas Cowboys,Ankle Sprain,ankle,lower body,Medium Severity,Week 2,2023,2,2,,,,,
O,Tyron Smith,TS-2700,Dallas Cowboys,Undisclosed injury,knee,lower body,Medium Severity,Week 3,2023,1,2,,,,,
O,Rashod Bateman,RB-9961,Baltimore Ravens,Hamstring Strain,leg,lower body,Low Severity,Week 3,2023,2,2,,,,,
O,Deshaun Watson,DW-1725,Cleveland Browns ,Rotator Cuff Contusion,shoulder,upper body,Low Severity,Week 3,2023,3,8,,,,,
O,Jimmy Garoppolo,JG-0650,Las Vegas Raiders,Concussion,head,upper body,Low Severity,Week 3,2023,1,1,,,,,
D,David Ojabo,DO-4423,Baltimore Ravens,ACL tear,knee,lower body,High Severity,Week 3,2023,14,2,,Yes,,Yes,
D,Troy Andersen,TA-0110,Atlanta Falcons,Torn Pectoral,shoulder,upper body,High Severity,Week 3,2023,14,,,Yes,,Yes,
O,Pat Freiermuth,PF-9947,Pittsburgh Steelers,Hamstring Strain,leg,lower body,Medium Severity,Week 4,2023,5,6,,,,Yes,
O,Tee Higgins,TH-1575,Cincinnati Bengals,Rib Fracture,abdomen,upper body,Medium Severity,Week 4,2023,1,2,,,,,
O,Treylon Burks,TB-8372,Tenessee Titans,Knee Soreness,knee,lower body,Medium Severity,Week 4,2023,3,7,,,,,
O,Zay Jones,ZJ-0100,Jacksonville Jaguars,Knee Sprain,knee,lower body,Medium Severity,Week 3,2023,6,10,,,,,
O,Parker Washington,PW-0222,Jacksonville Jaguars,Undisclosed injury,knee,lower body,Low Severity,Week 4,2023,6,7,,,,,
D,Von Miller,VM-0300,Buffalo Bills,Knee Soreness/ ACL Recovery,knee,lower body,High Severity,Week 4,2023,4,5,,,,,
O,Jonathan Taylor,JT-1025,Indianapolis Colts,Ankle Soreness,ankle,lower body,Low Severity,Week 5,2023,,0,,,,,
O,Miles Sanders,MS-0125,Carolina Panthers,Groin Strain,groin,lower body,Low Severity,Week 4,2023,0,2,,,,,
O,Amon-Ra St. Brown,AS-9964,Detroit Lions,Abdomen Strain,abdomen,upper body,Low Severity,Week 5,2023,1,1,,,,,
O,Jahmyr Gibbs,JG-8138,Detroit Lions,Hamstring Strain,leg,lower body,Low Severity,Week 5,2023,2,3,,,,,
O,Juwan Johnson,JJ-3675,New Orleans Saints,Calf Strain,leg,lower body,Medium Severity,Week 4,2023,2,3,,,,,
D,Christian Gonzalez,CG-0222,New England Patriots,Torn Labrum,shoulder,upper body,High Severity,Week 4,2023,13,,,,,,
D,Matt Judon,MJ-2700,New England Patriots,Torn Bicep,arm,upper body,High Severity,Week 4,2023,13,,,,,,
O,Rhamondre Stevenson,RS-9934,New England Patriots,Thigh bruise,leg,lower body,Low Severity,Week 4,2023,0,1,,,,,
O,Kenny Pickett,KP-9921,Pittsburgh Steelers,Knee Sprain,knee,lower body,Low Severity,Week 4,2023,0,1,,,,,
O,Najee Harris,NH-9919,Pittsburgh Steelers,Hamstring Strain,leg,lower body,Low Severity,Week 4,2023,0,1,,,,,
O,Keaontay Ingram,KI-3054,Arizona Cardinals,Neck Soreness,neck,upper body,Low Severity,Week 4,2023,1,1,,,,,
O,Kyren Williams,KW-6926,Los Angeles Rams,Hip Contusion,hip,lower body,Low Severity,Week 4,2023,0,3,,,,,
O,Matthew Stafford,MS-4100,Los Angeles Rams,Hip Contusion,hip,lower body,Low Severity,Week 4,2023,0,1,,,,,
O,Javonte Williams,JW-9938,Denver Broncos,Quad Strain,leg,lower body,Low Severity,Week 4,2023,1,1,,,,,
O ,Jerry Jeudy,JJ-2325,Denver Broncos,Knee Soreness,knee,lower body,Low Severity,Week 4,2023,0,1,,,,,
O,CeeDee Lamb,CL-0206,Dallas Cowboys,Knee Soreness,knee,lower body,Low Severity,Week 4,2023,0,1,,,,,
O,Cameron Mitchell,CM-5555,San Francisco 49ers,Knee Bruise,knee,lower body,Low Severity,Week 4,2023,2,2,,,,,
O,Deebo Samuel,DS-0150,San Francisco 49ers,Bruised Ribs/ Knee Soreness,abdomen,upper body,Low Severity,Week 3,2023,0,2,,,,,
O ,Luke Musgrave,LM-0223,Green Bay Packers,Concussion,head,upper body,Low Severity,Week 4,2023,0,1,,,,,
O,Davante Adams,DA-0212,Las Vegas Raiders,Shoulder Contusion,shoulder,upper body,Low Severity,Week 4,2023,0,3,,,,,
O,Anthony Richardson,AR-0222,Indianapolis Colts,AC Sprain,shoulder,upper body,High Severity,Week 5,2023,13,,,Yes,,Yes,
O,Justin Jefferson,JJ-1325,Minnesota Vikings,Hamstring Strain,leg,lower body,Medium Severity,Week 5,2023,7,7,,,,Yes,
O,Devon Achane,DA-5229,Miami Dolphins,Knee Sprain,knee,lower body,Medium Severity,Week 5,2023,5,7,,,,Yes,
O ,Travis Kelce,TK-0150,Kansas City Chiefs,Low Ankle Sprain,ankle,lower body,Low Severity,Week 5,2023,0,2,,,,,
O,James Conner,JC-4075,Arizona Cardinals,Knee Sprain,knee,lower body,Medium Severity,Week 5,2023,4,5,,,,Yes ,
O,Khalil Herbert,KH-9934,Chicago Bears ,High Ankle Sprain,ankle,lower body,Medium Severity,Week 5,2023,5,5,,,,Yes ,
O,Roschon Johnson,RJ-0223,Chicago Bears,Concussion,head,upper body,Medium Severity,Week 5,2023,2,3,,,,,
O,Jordan Addison,JA-9146,Minnesota Vikings,Ankle Soreness,ankle,lower body,Low Severity,Week 6,2023,0,1,,,,,
O,Cole Kmet,CK-0925,Chicago Bears,Hamstring Strain,leg,lower body,Low Severity,Week 5,2023,0,1,,,,,
O,Chris Olave,CO-2375,New Orleans Saints,Turf Toe ,foot,lower body,Low Severity,Week 5,2023,0,2,,,,,
O,Nathaniel Dell,ND-0223,Houston Texans,Concussion,head,upper body,Low Severity,Week 5,2023,1,2,,,,,
O,Miles Sanders,MS-0125,Carolina Panthers,Shoulder Soreness,shoulder,upper body,Low Severity,Week 5,2023,1,3,,,,,
O,Demario Douglas,DD-2223,New England Patriots,Concussion,head,upper body,Low Severity,Week 5,2023,1,2,,,,,
O,JuJu Smith-Schuster,JS-4750,New England Patriots,Concussion,head,upper body,Low Severity,Week 5,2023,1,2,,,,,
O,Sam LaPorta,SL-2933,Detroit Lions,Calf Strain,leg,lower body,Low Severity,Week 6,2023,0,1,,,,,
O ,Mike Evans,ME-0600,Tampa Bay Buccaneers ,Hamstring Strain,leg,lower body,Low Severity,Week 5,2023,0,1,,,,,
O,Tony Pollard,TP-1650,Dallas Cowboys,Shoulder Soreness,shoulder,upper body,Low Severity,Week 5,2023,0,1,,,,,
O,Daniel Jones,DJ-2275,New York Giants,Neck Sprain,neck,upper body,Medium Severity,Week 5,2023,3,5,,,,,
D,Sauce Gardner,AG-7990,New York Jets,Concussion,head,upper body,Low Severity,Week 6,2023,1,2,,,,,
O,Peyton Hendershot,PH-9947,Dallas Cowboys,Ankle Sprain,ankle,lower body,High Severity,Week 5,2023,9,10,,,,Yes,
O,Ian Thomas,IT-0150,Carolina Panthers,Calf Strain,leg,lower body,Medium Severity,Week 6,2023,8,9,,,,,
O,Darren Waller,DW-0675,New York Giants,Groin soreness,leg,lower body,Low Severity,Week 6,2023,0,1,,,,,
O,Josh Palmer,JP-9961,Los Angeles Chargers,Groin Soreness,groin,lower body,Low Severity,Week 6,2023,0,1,,,,,
O,Kyler Murray,KM-3500,Arizona Cardinals,ACL recovery,knee,lower body,Medium Severity,Preseason,2023,9,9,,Yes,,Yes,Yes
O,Zach Pascal,ZP-0050,Arizona Cardinals,Neck Soreness,neck,upper body,Low Severity,Week 7,2023,,1,,,,,
O,Josh Allen,JA-1090,Buffalo Bills,Bruised Shoulder,shoulder,upper body,Low Severity,Week 7,2023,,5,,,,,
O,Dawson Knox,DK-0950,Buffalo Bills,Sprained Wrist,wrist,upper body,Low Severity,Week 7,2023,0,1,,,,Yes,
O,Quintin Morris,QM-9947,Buffalo Bills,Ankle Sprain,ankle,lower body,Low Severity,Week 7,2023,1,3,,,,,
O,Dalton Kincaid,DK-0223,Buffalo Bills,Concussion,head,upper body,Low Severity,Week 6,2023,1,2,,,,,
O,Damien Harris,DH-1362,Buffalo Bills,Sprained neck/Concussion,head,upper body,Medium Severity,Week 7,2023,9,9,,,,,
O,Laviska Shenault,LS-0650,Carolina Panthers,High Ankle Sprain,ankle,lower body,Medium Severity,Week 7,2023,7,7,,,,Yes,
O,Justin Fields,JF-9921,Chicago Bears,Dislocated thumb,hand,upper body,Medium Severity,Week 7,2023,4,5,,,,,
O,Travis Homer,TH-2337,Chicago Bears,Hamstring Strain,leg,lower body,Medium Severity,Week 5,2023,2,3,,,,,
O,Kareem Hunt,KH-2850,Cleveland Browns ,Thigh bruise,leg,lower body,Low Severity,Week 7,2023,,1,,,,,
O,Harrison Bryant,HB-0375,Cleveland Browns ,Hip Soreness,hip,lower body,Low Severity,Week 7,2023,,1,,,,,
O,Cedric Tillman,CT-0223,Cleveland Browns ,Hip Soreness,hip,lower body,Low Severity,Week 6,2023,1,3,,,,,
O,Amari Cooper,AC-2350,Cleveland Browns ,Ankle Soreness,ankle,lower body,Low Severity,Week 7,2023,,3,,,,,
O,David Montgomery,DM-2787,Detroit Lions,Bruised Ribs/ Knee Soreness,rib,upper body,Medium Severity,Week 7,2023,2,3,,,,,
O,Craig Reynolds,CR-0775,Detroit Lions,Hamstring tightness,leg,lower body,Low Severity,Week 7,2023,,1,,,,,
O,Kylen Granson,KG-9947,Indianapolis Colts,Concussion,head,upper body,Low Severity,Week 7,2023,2,3,,,,,
O,Alec Pierce,AP-0996,Indianapolis Colts,Bruised Shoulder,shoulder,upper body,Low Severity,Week 7,2023,,1,,,,,
O,Trevor Lawrence,TL-9921,Jacksonville Jaguars,Sprained MCL,knee,lower body,Low Severity,Week 7,2023,,2,,,,,
O,Kadarius Toney,KT-9961,Kansas City Chiefs,Sprained Toe,foot,lower body,Low Severity,Week 3,2023,1,4,,,,,
O,Deebo Samuel,DS-0150,San Francisco 49ers,Fractured Shoulder,shoulder,upper body,Low Severity,Week 7,2023,2,2,,,,,
O,Justin Herbert,JH-3418,Los Angeles Chargers,Fractured finger,hand,upper body,Low Severity,Week 6,2023,,4,,,,,
O,Justin Watson,JW-1050,Kansas City Chiefs,Dislocated Elbow,elbow,upper body,Medium Severity,Week 7,2023,1,2,,,,,
O,Ben Skowronek,BS-9961,Los Angeles Rams,Achilles Soreness,achilles,lower body,Low Severity,Week 7,2023,,1,,,,,
O,Kyren Williams,KW-6926,Los Angeles Rams,Ankle Sprain,ankle,lower body,Medium Severity,Week 7,2023,4,5,,,,,
O,Ronnie Rivers,RR-9934,Los Angeles Rams ,PCL Sprain,knee,lower body,Medium Severity,Week 7,2023,9,3,,,,Yes,
O,Jimmy Garoppolo,JG-0650,Las Vegas Raiders,Back Soreness,back,upper body,Low Severity,Week 7,2023,1,2,,,,,
O,Christopher Brooks,CB-1654,Miami Dolphins,Ankle Sprain,ankle,lower body,Medium Severity,Week 7,2023,8,8,,,,Yes,
O,Hunter Henry,HH-0225,New England Patriots,Ankle Soreness,ankle,lower body,Low Severity,Week 7,2023,,2,,,,,
O,Rhamondre Stevenson,RS-9934,New England Patriots,Ankle Sprain,ankle,lower body,Low Severity,Week 7,2023,,1,,,,,
O,Dallas Goedert,DG-1287,Philadelphia Eagles,Groin Strain,groin,lower body,Low Severity,Week 7,2023,,1,,,,,
O,DeVonta Smith,DS-9918,Philadelphia Eagles,Hamstring Strain,leg,lower body,Low Severity,Week 7,2023,,1,,,,,
O,DK Metcalf,DM-2275,Seattle Seahawks,Hip strain/Bruised Ribs,hip,lower body,Low Severity,Week 7,2023,1,2,,,,,
O,Zach Charbonnet,ZC-7608,Seattle Seahawks,Hamstring Strain,leg,lower body,Low Severity,Week 7,2023,,2,,,,,
O,Tyler Lockett,TL-1025,Seattle Seahawks,Hamstring Strain,leg,lower body,Low Severity,Week 7,2023,,5,,,,,
O,Christian McCaffrey,CM-1225,San Francisco 49ers,Oblique Strain,abdomen,upper body,Low Severity,Week 7,2023,,2,,,,,
O,Ryan Tannehill,RT-0150,Tennessee Titans,Ankle Sprain,ankle,lower body,Medium Severity,Week 7,2023,3,4,,,,,
O,Chris Moore,CM-2675,Tennessee Titans,Concussion,head,upper body,Low Severity,Week 7,2023,1,2,,,,,
O,Josh Whyle,JW-1093,Tennessee Titans,Concussion,head,upper body,Low Severity,Week 7,2023,1,1,,,,,
D,Antonio Hamilton,AH-0762,Arizona Cardinals,Groin,groin,lower body,Low Severity,Week 7,2023,3,4,,,,,
D,Marcus Williams,MW-2275,Baltimore Ravens,Hamstring,hamstring,lower body,Low Severity,Week 7,2023,2,3,,,,,
D,Ed Oliver,EO-0275,Buffalo Bills,Toe,toe,lower body,Low Severity,Week 7,2023,1,2,,,,,
D,Frankie Luvu,FL-0300,Carolina Panthers,Hip,hip,lower body,Low Severity,Week 7,2023,,1,,,,,
D,Jeremy Chinn,JC-2781,Carolina Panthers,Quad,quad,lower body,Medium Severity,Week 7,2023,,2,,,,,
O,Nate Davis,ND-0250,Chicago Bears,Ankle,ankle,lower body,Low Severity,Week 7,2023,4,4,,,,,
O,Orlando Brown,OB-0300,Cincinnati Bengals,Groin,groin,lower body,Low Severity,Week 7,2023,,1,,,,,
O,Michael Dunn,MD-1025,Cleveland Browns ,Calf    ,calf,lower body,Medium Severity,Week 7,2023,4,4,,,,Yes,
D,Greg Newsome,GN-9454,Cleveland Browns ,Hamstring,hamstring,lower body,Low Severity,Week 7,2023,,1,,,,,
D,Justin Simmons,JS-3150,Denver Broncos,Hip,knee,lower body,Low Severity,Week 2,2023,2,4,,,,,
D,Brian Branch,BB-0228,Detroit Lions,Ankle,ankle,lower body,Low Severity,Week 4,2023,2,2,,,,,
D,Eric Murray,EM-2100,Houston Texans,Knee,knee,lower body,Medium Severity,Week 7,2023,4,4,,,,Yes,
D,Grover Stewart,GS-1250,Indianapolis Colts,Suspension,,#N/A,Medium Severity,Week 7,2023,1,1,,,,,
D,Tyson Campbell,TC-1765,Jacksonville Jaguars,Hamstring,hamstring,lower body,Low Severity,Week 7,2023,4,5,,,,,
D,Raheem Layne,#N/A,Los Angeles Chargers,Knee,knee,lower body,High Severity,Week 7,2023,12,,,,,Yes,
D,Maxx Crosby,MC-3050,Las Vegas Raiders,Knee,knee,lower body,Low Severity,Week 3,2023,0,7,,,,,
D,Xavien Howard,XH-0100,Miami Dolphins,Groin,groin,lower body,Low Severity,Week 7,2023,,1,,,,,
D,Marcus Davenport,MD-0131,Minnesota Vikings,Ankle,ankle,lower body,Medium Severity,Week 7,2023,1,1,,,,,
D,Jabrill Peppers,JP-1975,New England Patriots,Knee,knee,lower body,Low Severity,Week 7,2023,,1,,,,,
D,Demario Davis,DD-0250,New Orleans Saints,Knee,knee,lower body,Low Severity,Week 7,2023,,2,,,,,
D,Tyrann Mathieu,TM-0850,New Orleans Saints,Foot,foot,lower body,Low Severity,Week 7,2023,,2,,,,,
O,Ryan Ramczyk,RR-0122,New Orleans Saints,Concussion,head,upper body,Low Severity,Week 7,2023,1,1,,,,,
D,D.J. Reed,DR-0750,New York Jets,Concussion,head,upper body,Low Severity,Week 7,2023,2,4,,,,,
O,Lane Johnson,LJ-0850,Philadelphia Eagles,Ankle,ankle,lower body,Low Severity,Week 7,2023,,1,,,,,
D,Darius Slay,DS-2250,Philadelphia Eagles,Knee,knee,lower body,Low Severity,Week 7,2023,2,3,,,,,
O,Trent Williams,TW-2800,San Francisco 49ers,Ankle,ankle,lower body,Low Severity,Week 7,2023,,1,,,,,
D,Odafe Oweh,JO-8300,Baltimore Ravens,Ankle,ankle,lower body,Low Severity,Week 2,2023,4,4,,,,,
D,Jaire Alexander,JA-0475,Green Bay Packers,Back,back,upper body,Low Severity,Week 7,2023,,1,,,,,
D,Derwin James,DJ-0587,Los Angeles Chargers,Ankle,ankle,lower body,Low Severity,Week 7,2023,,1,,,,,
D,Alohi Gilman,AG-0762,Los Angeles Chargers,Heel,heel,lower body,Low Severity,Week 7,2023,1,2,,,,,
O,Jalen Guyton,JG-4200,Los Angeles Chargers,ACL recovery,knee,lower body,High Severity,Preseason,2023,9,9,,,,,
O,Kayshon Boutte,KB-8300,New England Patriots,Hamstring Strain,leg,lower body,Low Severity,Week 7,2023,,1,,,,,
O,Zach Charbonnet,ZC-7608,Seattle Seahawks,Hamstring Strain,leg,lower body,Low Severity,Week 7,2023,1,1,,,,,
O,Zach Ertz,ZE-0100,Arizona Cardinals,Quad Strain,leg,lower body,High Severity,Week 8,2023,2,2,,,,Yes,
O,Tylan Wallace,TW-9961,Baltimore Ravens,Hamstring Strain,leg,lower body,Low Severity,Week 8,2023,1,1,,,,,
O,Keaton Mitchell,KM-2229,Baltimore Ravens,Hamstring Strain,leg,lower body,Medium Severity,Week 8,2023,1,3,,,,,
O,Dawson Knox,DK-0950,Buffalo Bills,Torn Ligament,wrist,upper body,Medium Severity,Week 8,2023,5,7,,Yes,,Yes,
O,Marquise Goodwin,MG-1050,Cleveland Browns ,Back Soreness,back,upper body,Low Severity,Week 8,2023,,1,,,,,
O,Jerome Ford,JF-7355,Cleveland Browns ,High Ankle Sprain,ankle,lower body,Low Severity,Week 8,2023,,1,,,,,
O,David Njoku,DN-1225,Cleveland Browns ,Knee Soreness,knee,lower body,Low Severity,Week 8,2023,1,10,,,,,
O,Zack Moss,ZM-0350,Indianapolis Colts,Elbow/Heel bruise,heel,lower body,Low Severity,Week 8,2023,,1,,,,,
O,Dwayne Washington,DW-1550,Denver Broncos,Knee Soreness,knee,lower body,Low Severity,Week 8,2023,,1,,,,,
O,Kalif Raymond,KR-0312,Detroit Lions,Hamstring Strain,leg,lower body,Low Severity,Week 8,2023,,1,,,,,
O,Mohamed Ibrahim,MI-7332,Detroit Lions,Dislocated Hip,hip,lower body,High Severity,Week 8,2023,8,8,,Yes,,Yes,
O,Luke Musgrave,LM-0223,Green Bay Packers,Ankle Sprain,ankle,lower body,Low Severity,Week 8,2023,,1,,,,,
O,Christian Watson,CW-4091,Green Bay Packers,Knee Sprain,knee,lower body,Low Severity,Week 8,2023,,1,,,,,
O,Robert Woods,RW-4050,Houston Texans,Foot Sprain,foot,lower body,Low Severity,Week 8,2023,2,3,,,,,
O,Brevin Jordan,BJ-9947,Houston Texans,Plantar Fasciitis ,foot,lower body,Low Severity,Week 8,2023,3,4,,,,,
O,Xavier Hutchinson,XH-0222,Houston Texans,Foot Soreness,foot,lower body,Low Severity,Week 8,2023,,1,,,,,
O,Jerick McKinnon,JM-3450,Kansas City Chiefs,Groin Strain,groin,lower body,High Severity,Week 8,2023,6,5,,,,Yes,
O,Richie James,RJ-0450,Kansas City Chiefs,Sprained MCL,knee,lower body,High Severity,Week 8,2023,1,2,,Yes,,Yes,
O,Gerald Everett,GE-0400,Los Angeles Chargers,Hip contusion,hip,lower body,Low Severity,Week 8,2023,1,2,,,,,
O,Josh Palmer,JP-9961,Los Angeles Chargers,Knee Sprain,knee,lower body,Low Severity,Week 8,2023,6,6,,,,,
O,Hunter Long,HL-9947,Los Angeles Rams,Hamstring,leg,lower body,Low Severity,Week 8,2023,2,3,,,,,
O,Raheem Mostert,RM-5050,Miami Dolphins,Ankle/Knee Soreness,ankle,lower body,Medium Severity,Week 8,2023,2,9,,,,,
O,Tyreek Hill,TH-1750,Miami Dolphins,Hip strain,hip,lower body,Low Severity,Week 8,2023,,1,,,,,
O,Jaylen Waddle,JW-9961,Miami Dolphins,Back Soreness,back,upper body,Low Severity,Week 8,2023,,2,,,,,
O,River Cracraft,RC-2525,Miami Dolphins,Shoulder Sprain,shoulder,upper body,Low Severity,Week 8,2023,1,1,,,,,
O,T.J. Hockenson,TH-1875,Minnesota Vikings,Sprained Foot,foot,lower body,Low Severity,Week 8,2023,,1,,,,,
O,Ty Montgomery,TM-3150,New England Patriots,Knee Soreness,knee,lower body,Low Severity,Week 8,2023,,1,,,,,
O,Taysom Hill,TH-1625,New Orleans Saints,Bruised Chest,chest,upper body,Low Severity,Week 8,2023,,1,,,,,
O,Kendre Miller,KM-0222,New Orleans Saints,Bruised Shoulder,shoulder,upper body,Low Severity,Week 8,2023,,1,,,,,
O,Saquon Barkley,SB-0212,New York Giants,Hyperextended elbow,elbow,upper body,Low Severity,Week 8,2023,,1,,,,,
O,Gary Brightwell,GB-9986,New York Giants,Hamstring Strain,leg,lower body,Medium Severity,Week 8,2023,6,7,,,,,
O,Eric Gray,EG-7646,New York Giants,Calf Strain,leg,lower body,Medium Severity,Week 8,2023,4,5,,,,Yes,
O,Randall Cobb,RC-1500,New York Jets,Bruised Shoulder,shoulder,upper body,Low Severity,Week 8,2023,1,1,,,,,
O,Irvin Charles,IC-0110,New York Jets,Bruised Shoulder,shoulder,upper body,Low Severity,Week 8,2023,1,1,,,,,
O,Noah Fant,NF-0175,Seattle Seahawks,Sprained Toe,foot,lower body,Low Severity,Week 8,2023,,1,,,,,
O,Kenneth Walker,KW-2389,Seattle Seahawks,Calf Soreness,leg,lower body,Low Severity,Week 8,2023,,1,,,,,
O,D'Wayne Eskridge,DE-9961,Seattle Seahawks,Hamstring Strain,leg,lower body,Low Severity,Week 8,2023,,1,,,,,
O,Brock Purdy,BP-1362,San Francisco 49ers,Concussion,head,upper body,Low Severity,Week 8,2023,,1,,,,,
O,Baker Mayfield,BM-0650,Tampa Bay Buccaneers ,Knee Sprain,knee,lower body,Low Severity,Week 8,2023,,2,,,,,
O,Chris Godwin,CG-1425,Tampa Bay Buccaneers ,Neck Soreness,neck,upper body,Low Severity,Week 8,2023,,1,,,,,
O,Cole Turner,CT-9947,Washington Commanders,Ankle Sprain,ankle,lower body,Low Severity,Week 8,2023,1,1,,,,,
O,Curtis Samuel,CS-0050,Washington Commanders,Toe Soreness ,foot,lower body,Medium Severity,Week 8,2023,1,5,,,,,
D,Jerry Jacobs,JJ-0913,Detroit Lions,Knee Soreness,knee,lower body,Low Severity,Week 7,2023,1,2,,,,,
D,Jaquan Brisker,JB-6162,Chicago Bears,Illness,,#N/A,Low Severity,Week 9,2023,,1,,,,,
D,Eddie Jackson,EJ-0125,Chicago Bears,Foot Sprain,foot,lower body,Medium Severity,Week 2,2023,4,5,,,,,
O,Jedrick Wills,JW-4918,Cleveland Browns ,Ankle Sprain,ankle,lower body,Low Severity,Week 8,2023,,1,,,,,
D,Kareem Jackson,KJ-0100,Denver Broncos,Suspension,,#N/A,Low Severity,Week 8,2023,6,,,,,,
D,Kerby Joseph,KJ-0122,Detroit Lions,Concussion,head,upper body,Low Severity,Week 8,2023,,1,,,,,
D,Eric Stokes,ES-2635,Green Bay Packers,Hamstring Strain,hamstring,lower body,Medium Severity,Week 8,2023,7,1,,,,Yes,
D,Darnell Savage,DS-0712,Green Bay Packers,Calf Strain,calf,lower body,Medium Severity,Week 8,2023,5,,,,,Yes,
D,Sheldon Rankins,SR-0050,Houston Texans,Knee,knee,lower body,Low Severity,Week 8,2023,1,3,,,,,
D,Julius Brents,JB-0230,Indianapolis Colts,Quadriceps,quad,lower body,Low Severity,Week 8,2023,6,6,,,,,
D,Nick Bolton,NB-4253,Kansas City Chiefs,Dislocated Wrist,wrist,upper body,Medium Severity,Week 8,2023,5,,,,,Yes,
D,Jevon Holland,JH-8500,Miami Dolphins,Concussion,head,upper body,Low Severity,Week 8,2023,1,1,,,,,
O,Isaiah Wynn,IW-0400,Miami Dolphins,Quadriceps,quad,lower body,Medium Severity,Week 8,2023,8,,,,,,
D,Kayvon Thibodeaux,KT-5287,New York Giants,Knee,knee,lower body,Low Severity,Week 8,2023,,1,,,,,
D,Bobby Wagner,BW-0150,Seattle Seahawks,Ankle Sprain,ankle,lower body,Low Severity,Week 8,2023,,1,,,,,
D,Uchenna Nwosu,UN-0200,Seattle Seahawks,Pectoral Strain,chest,upper body,High Severity,Week 8,2023,11,,,Yes,,Yes,
D,Roger McCreary,RM-7208,Tennessee Titans,Hamstring Strain,hamstring,lower body,Low Severity,Week 8,2023,1,1,,,,,
D,Vita Vea,VV-0200,Tampa Bay Buccaneers ,Groin Strain,groin,lower body,Low Severity,Week 8,2023,1,2,,,,,
O,Brandon Johnson,BJ-0112,Denver Broncos,Hamstring Strain,hamstring,lower body,Medium Severity,Week 8,2023,4,5,,,,,
D,Bud Dupree,BD-1200,Atlanta Falcons,Groin Strain,groin,lower body,Low Severity,Week 8,2023,,1,,,,,
D,Vonn Bell,VB-0087,Carolina Panthers,Quadriceps,quad,lower body,Low Severity,Week 8,2023,2,2,,,,,
D,Brian Asamoah,BA-7371,Minnesota Vikings,Ankle Sprain,ankle,lower body,Low Severity,Week 8,2023,1,2,,,,,
D,Will McDonald,WM-7777,New York Jets,Back,back,upper body,Low Severity,Week 8,2023,,1,,,,,
D,Jamal Adams,JA-0150,Seattle Seahawks,Knee,knee,lower body,Low Severity,Week 2,2023,7,9,,,,Yes,
O,James Hurst,JH-6500,New Orleans Saints,Ankle Sprain,ankle,lower body,Low Severity,Week 7,2023,2,2,,,,,
O,Michael Thomas,MT-0875,New Orleans Saints,Illness,abdomen,upper body,Low Severity,Week 8,2023,,1,,,,,
O,Kirk Cousins,KC-2350,Minnesota Vikings,Torn Achilles ,achilles,lower body,High Severity,Week 8,2023,8,8,,Yes,,,
O,Kendrick Bourne,KB-1625,New England Patriots,Torn ACL,knee,lower body,High Severity,Week 8,2023,8,8,,Yes,,,
O,Matthew Stafford,MS-4100,Los Angeles Rams,Sprained UCL,thumb,upper body,Medium Severity,Week 8,2023,1,2,,,,,
O,Drake London,DL-4371,Atlanta Falcons,Groin Strain,groin,lower body,Low Severity,Week 9,2023,1,2,,,,,
O,Desmond Ridder,DR-7743,Atlanta Falcons,Concussion,head,upper body,Low Severity,Week 9,2023,,1,,,,,
D,Mike Hughes,MH-3715,Atlanta Falcons,Shoulder,shoulder,upper body,Low Severity,Week 9,2023,,1,,,,,
D,Grady Jarrett,GJ-0250,Atlanta Falcons,Torn ACL,knee,lower body,High Severity,Week 8,2023,10,,,,,,
O,Morgan Moses,MM-5450,Baltimore Ravens,Shoulder Sprain,shoulder,upper body,Low Severity,Week 9,2023,2,2,,,,,
D,Kaiir Elam,KE-2396,Buffalo Bills,Ankle Sprain,ankle,lower body,Medium Severity,Week 7,2023,6,2,,,,,
