O-D,Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Injury Detail,Surgery,Recovery Timetable,Injured Reserve,IR from Previous inj.
O,Mike McGlinchey,MM-2565,Denver Broncos,Ribs,rib,upper body,Low Severity,Week 17,2023,1,1,,,,,
D,Rudy Ford,RF-0725,Green Bay Packers,Hamstring Strain,hamstring,lower body,Low Severity,Week 17,2023,1,1,,,,,
D,Xavien Howard,XH-0100,Miami Dolphins,Foot Soreness,foot,lower body,Low Severity,Week 17,2023,1,1,,,,,
O,Trent Brown,TB-3250,New England Patriots,Illness,,#N/A,Low Severity,Week 17,2023,1,1,,,,,
D,Jason Pinnock,JP-7932,New York Giants,Toe,toe,lower body,Low Severity,Week 17,2023,1,,,,,Yes,
D,Tashaun Gipson,TG-0950,San Francisco 49ers,Quadriceps Strain,quad,lower body,Low Severity,Week 17,2023,1,1,,,,,
D,Jonathan Allen,JA-1062,Washington Commanders,Knee,knee,lower body,Low Severity,Week 17,2023,1,1,,,,,
D,Jaylon Johnson,JJ-2775,Chicago Bears,Shoulder,shoulder,upper body,Low Severity,Week 17,2023,1,1,,,,,
D,T.J. Watt,TW-1137,Pittsburgh Steelers,MCL Sprain,knee,lower body,Low Severity,Week 18,2023,,,,,,,
O,Lucas Patrick,LP-0150,Chicago Bears,Calf Strain,calf,lower body,Low Severity,Week 17,2023,1,,,,,Yes,
O,Noah Brown,NB-0750,Houston Texans,Back Soreness,back,upper body,Low Severity,Week 17,2023,1,2,,,,,
O,Robert Woods,RW-4050,Houston Texans,Hip Contusion,hip,lower body,Low Severity,Week 17,2023,1,3,,,,,
O,Elijah Moore,EM-9961,Cleveland Browns,Concussion,head,upper body,Low Severity,Week 17,2023,,1,,,,,
O,Jameson Williams,JW-0347,Detroit Lions,Ankle Soreness,ankle,lower body,Low Severity,Week 17,2023,1,2,,,,,
O,Alvin Kamara,AK-0050,New Orleans Saints,Ankle Sprain,ankle,lower body,Low Severity,Week 17,2023,1,1,,,,,
O,Tyquan Thornton,TT-2346,New England Patriots,Ankle Soreness,ankle,lower body,Low Severity,Week 17,2023,1,1,,,,,
O,Tyler Lockett,TL-1025,Seattle Seahawks,Toe Soreness,toe,lower body,Low Severity,Week 17,2023,,1,,,,,
O,Kenny McIntosh,KM-0223,Seattle Seahawks`,Thumb Sprain,thumb,upper body,Low Severity,Week 17,2023,1,1,,,,,
O,Khalil Herbert,KH-9934,Chicago Bears,Back Soreness,back,upper body,Low Severity,Week 17,2023,,1,,,,,
O,D'Andre Swift,DS-5175,Philadelphia Eagles,Illness,,#N/A,Low Severity,Week 17,2023,1,1,,,,,
O,DeVonta Smith,DS-9918,Philadelphia Eagles,Ankle Sprain,ankle,lower body,Low Severity,Week 17,2023,1,2,,,,,
O,Rashee Rice,RR-0112,Kansas City Chiefs,Hamstring Tightness,hamstring,lower body,Low Severity,Week 17,2023,1,3,,,,,
O,Tyler Higbee,TH-1550,Los Angeles Rams,Shoulder Bruise,shoulder,upper body,Low Severity,Week 17,2023,1,2,,,,,
O,Christian McCaffrey,CM-1225,San Francisco 49ers,Calf Strain,calf,lower body,Low Severity,Week 17,2023,1,3,,,,,
D,Chidobe Awuzie,CA-1350,Cincinnati Bengals,Shoulder,shoulder,upper body,Low Severity,Week 17,2023,1,1,,,,,
D,Kyler Gordon,KG-8902,Chicago Bears,Calf Strain,calf,lower body,Low Severity,Week 17,2023,,1,,,,,
D,Trent McDuffie,TM-2673,Kansas City Chiefs,Shoulder Soreness,shoulder,upper body,Low Severity,Week 17,2023,1,1,,,,,
D,K.J. Britt,KB-3669,Tampa Bay Buccaneers,Calf Strain,calf,lower body,Low Severity,Week 17,2023,1,1,,,,,
D,Kamren Curl,KC-2675,Washington Commanders,Quadriceps Strain,quad,lower body,Low Severity,Week 17,2023,1,1,,,,,
D,Casey Toohill,CT-1637,Washington Commanders,Shoulder,shoulder,upper body,Low Severity,Week 17,2023,1,1,,,,,
D,Zach Harrison,ZH-7801,Atlanta Falcons,Knee,knee,lower body,Low Severity,Week 17,2023,1,1,,,,,
D,Ardarius Washington,AW-1812,Baltimore Ravens,Chest,chest,upper body,High Severity,Week 2,2023,15,,,,,Yes,
O,Tyler Smith,TS-2838,Dallas Cowboys,Plantar Fascia Tear,foot,lower body,Low Severity,Week 17,2023,1,1,,,,,
O,Ed Ingram,EI-2701,Minnesota Vikings,Shoulder,shoulder,upper body,Low Severity,Week 17,2023,1,1,,,,,
O,John Michael Schmitz,JS-0229,New York Giants,Shin Bruise,shin,lower body,Low Severity,Week 17,2023,1,1,,,,,
D,Jarran Reed,JR-1025,Seattle Seahawks,Knee,knee,lower body,Low Severity,Week 17,2023,1,1,,,,,
O,Jaelyn Duncan,JD-0224,Tennessee Titans,Neck Soreness,neck,upper body,Low Severity,Week 17,2023,1,1,,,,,
D,Andrew Van Ginkel,AV-0150,Miami Dolphins,Foot,foot,lower body,Low Severity,Week 18,2023,,,,,,,
O,Cedric Tillman,CT-0223,Cleveland Browns,Concussion,head,upper body,Low Severity,Week 18,2023,1,1,,,,,
O,Pierre Strong,PS-5961,Cleveland Browns,Back Soreness,back,upper body,Low Severity,Week 18,2023,1,1,,,,,
O,Justyn Ross,JR-7354,Kansas City Chiefs,Hamstring strain,hamstring,lower body,Low Severity,Week 18,2023,1,1,,,,,
D,Jerry Hughes,JH-5900,Houston Texans,Ankle Sprain,ankle,lower body,Low Severity,Week 18,2023,2,2,,,,,
O,Kalif Raymond,KR-0312,Detroit Lions,Bruised Knee,knee,lower body,Low Severity,Week 17,2023,3,3,,,,,
O,Sam LaPorta,SL-2933,Detroit Lions,Bruised Knee,knee,lower body,Low Severity,Week 18,2023,,3,,,,,
D,Jordan Fuller,JF-3425,Los Angeles Rams,Ankle Sprain,ankle,lower body,Low Severity,Week 18,2023,1,1,,,,,
D,Jaire Alexander,JA-0475,Green Bay Packers,Ankle Sprain,ankle,lower body,Low Severity,Week 18,2023,,2,,,,,
D,Rasul Douglas,RD-1550,Buffalo Bills,Knee,knee,lower body,Low Severity,Week 18,2023,1,1,,,,,
O,Gabriel Davis,GD-0025,Buffalo Bills,Sprained PCL,knee,lower body,Low Severity,Week 17,2023,2,2,,,,,
O,Jalen Hurts,JH-6600,Philadelphia Eagles,Bruised finger,finger,upper body,Low Severity,Week 17,2023,,1,,,,,
O,A.J. Brown,AB-3150,Philadelphia Eagles,MCL Sprain,knee,lower body,Low Severity,Week 17,2023,1,1,,,,,
O,Baker Mayfield,BM-0650,Tampa Bay Buccaneers,Bruised Ribs/Ankle,rib,upper body,Low Severity,Week 17,2023,,3,,,,,
D,Sydney Brown,SB-0229,Philadelphia Eagles,Torn ACL,knee,lower body,High Severity,Week 18,2023,1,1,,,,,
D,Reed Blankenship,RB-0221,Philadelphia Eagles,Groin Strain,groin,lower body,Low Severity,Week 18,2023,1,1,,,,,
O,Tylan Wallace,TW-9961,Baltimore Ravens,Knee Soreness,knee,lower body,Low Severity,Week 17,2023,2,2,,,,,
O,John Metchie,JM-1417,Houston Texans,Foot Soreness,foot,lower body,Low Severity,Week 17,2023,,1,,,,,
O,Stefon Diggs,SD-0537,Buffalo Bills,Foot Soreness,foot,lower body,Low Severity,Week 17,2023,,1,,,,,
D,Clelin Ferrell,CF-0362,San Francisco 49ers,Knee,knee,lower body,High Severity,Week 18,2023,2,,,,,Yes,
O,Jonah Jackson,JJ-0450,Detroit Lions,Meniscus Tear,knee,lower body,Medium Severity,Week 19,2023,,,,,,,
O,Josh Reynolds,JR-1950,Detroit Lions,Bruised Ribs,rib,upper body,Low Severity,Week 19,2023,,1,,,,,
O,Deebo Samuel,DS-0150,San Francisco 49ers,Bruised Shoulder,shoulder,upper body,Low Severity,Week 19,2023,,1,,,,,
