Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Surgery,Recovery Timetable
Mychal Kendricks,MK-0730,Seattle Seahawks,hamstring strain,hamstring,lower body,Low Severity,Week 13,2019,2,3,,
Miles Killebrew,MK-0752,Detroit Lions,concussion,head,upper body,Low Severity,Week 9,2019,2,2,,
Micah Kiser,MK-0875,Los Angeles Rams,pectoral tear,chest,upper body,High Severity,Preseason,2019,16,16,Pectoral Repair Surgery,4-6 months
Matt LaCosse,ML-0050,New England Patriots,high ankle sprain,ankle,lower body,Medium Severity,Preseason,2019,2,2,,
Matt LaCosse,ML-0050,New England Patriots,MCL sprain,knee,lower body,Medium Severity,Week 6,2019,4,5,,
Marshon Lattimore,ML-0375,New Orleans Saints,hamstring strain,hamstring,lower body,Low Severity,Week 10,2019,2,3,,
Marqise Lee,ML-0650,Jacksonville Jaguars,ankle sprain,ankle,lower body,Low Severity,Week 6,2019,1,1,,
Marqise Lee,ML-0650,Jacksonville Jaguars,shoulder sprain,shoulder,upper body,High Severity,Week 9,2019,8,8,,
Marquel Lee,ML-0662,Oakland Raiders,toe sprain,toe,lower body,Low Severity,Week 14,2019,1,2,,
Marquel Lee,ML-0662,Oakland Raiders,ankle sprain,ankle,lower body,High Severity,Preseason,2019,8,8,,
Marcedes Lewis,ML-1500,Green Bay Packers,heel contusion,heel,lower body,Low Severity,Week 5,2019,0,1,,
Michael Liedtke,ML-1950,Tampa Bay Buccaneers,shoulder sprain,shoulder,upper body,High Severity,Preseason,2019,16,16,Shoulder Repair Surgery,4-6 months
Mike Love,ML-2337,Buffalo Bills,pectoral tear,chest,upper body,High Severity,Preseason,2019,17,17,Pectoral Repair Surgery,4-6 months
Marlon Mack,MM-0050,Indianapolis Colts,ankle sprain,ankle,lower body,Low Severity,Week 4,2019,0,1,,
Marlon Mack,MM-0050,Indianapolis Colts,calf strain,calf,lower body,Low Severity,Week 3,2019,0,1,,
Marlon Mack,MM-0050,Indianapolis Colts,hand fracture,hand,upper body,Medium Severity,Week 11,2019,2,2,Hand Surgery,2-4 weeks
Mike McGlinchey,MM-2565,San Francisco 49ers,knee sprain,knee,lower body,Medium Severity,Week 5,2019,4,5,,
Mark McLaurin,MM-2750,New York Giants,foot fracture,foot,lower body,High Severity,Preseason,2019,,,,
Matt Milano,MM-3168,Buffalo Bills,hamstring strain,hamstring,lower body,Low Severity,Week 5,2019,1,2,,
Mitch Morse,MM-5350,Buffalo Bills,ankle sprain,ankle,lower body,Low Severity,Week 5,2019,0,1,,
Mitch Morse,MM-5350,Buffalo Bills,concussion,head,upper body,Medium Severity,Preseason,2019,0,0,,
Morgan Moses,MM-5450,Washington Redskins,knee sprain,knee,lower body,Low Severity,Week 3,2019,0,2,,
Morgan Moses,MM-5450,Washington Redskins,shoulder sprain,shoulder,upper body,Low Severity,Week 6,2019,0,1,,
Montae Nicholson,MN-0550,Washington Redskins,neck strain,neck,upper body,Low Severity,Week 16,2019,1,1,,
Montae Nicholson,MN-0550,Washington Redskins,ankle sprain,ankle,lower body,Low Severity,Week 7,2019,2,4,,
Mark Nzeocha,MN-0900,San Francisco 49ers,neck strain,neck,upper body,Low Severity,Postseason,2019,,,,
Mike Person,MP-0900,San Francisco 49ers,neck strain,neck,upper body,Low Severity,Week 16,2019,0,3,,
Marcus Peters,MP-0950,Los Angeles Rams,chest strain,chest,upper body,Low Severity,Week 16,2019,0,1,,
Michael Pierce,MP-1225,Baltimore Ravens,ankle sprain,ankle,lower body,Low Severity,Week 10,2019,2,4,,
Maurkice Pouncey,MP-1900,Pittsburgh Steelers,knee sprain,knee,lower body,Low Severity,Week 17,2019,1,1,,
Mike Pouncey,MP-2000,Los Angeles Chargers,neck strain,neck,upper body,High Severity,Week 5,2019,11,11,Neck Repair Surgery,6-9 months
Martinas Rankin,MR-0250,Kansas City Chiefs,knee sprain,knee,lower body,High Severity,Week 10,2019,7,7,,
Malik Reed,MR-0525,Denver Broncos,calf strain,calf,lower body,Low Severity,Week 13,2019,1,1,,
Mike Remmers,MR-0645,New York Giants,back strain,back,upper body,Low Severity,Week 10,2019,1,1,,
Mike Remmers,MR-0645,New York Giants,concussion,head,upper body,Low Severity,Week 17,2019,1,1,,
Mason Rudolph,MR-2350,Pittsburgh Steelers,left posterior sc joint dislocation,clavicle,upper body,High Severity,Week 16,2019,1,1,Sternoclavicular Joint Repair Surgery,2-4 months
Mason Rudolph,MR-2350,Pittsburgh Steelers,concussion,head,upper body,Low Severity,Week 5,2019,1,1,,
Matt Ryan,MR-2500,Atlanta Falcons,ankle sprain,ankle,lower body,Low Severity,Week 8,2019,1,3,,
Miles Sanders,MS-0125,Philadelphia Eagles,MCL sprain,knee,lower body,Low Severity,Postseason,2019,0,1,,
Miles Sanders,MS-0125,Philadelphia Eagles,shoulder sprain,shoulder,upper body,Low Severity,Week 8,2019,0,1,,
Mohamed Sanu,MS-0150,New England Patriots,high ankle sprain,ankle,lower body,High Severity,Week 11,2019,1,4,Ankle Repair Surgery,4-6 months
Matt Skura,MS-2050,Baltimore Ravens,knee sprain,knee,lower body,Low Severity,Week 5,2019,0,1,,
Matt Skura,MS-2050,Baltimore Ravens,ACL/MCL/PCL tears & patella dislocation,knee,lower body,High Severity,Week 12,2019,6,6,Knee Reconstruction Surgery,6-9 months
Matthew Slater,MS-2100,New England Patriots,hamstring strain,hamstring,lower body,Low Severity,Week 12,2019,0,2,,
Maurice Smith,MS-2900,Miami Dolphins,concussion,head,upper body,Low Severity,Week 17,2019,0,0,,
Matthew Stafford,MS-4100,Detroit Lions,hip sprain,hip,lower body,Medium Severity,Week 4,2019,3,4,,
Matthew Stafford,MS-4100,Detroit Lions,upper thoracic vertebral fractures,back,upper body,High Severity,Week 10,2019,8,8,,
M.J. Stewart,MS-4750,Tampa Bay Buccaneers,knee sprain,knee,lower body,Medium Severity,Week 10,2019,3,4,,
Montez Sweat,MS-5675,Washington Redskins,quadricep strain,quad,lower body,Low Severity,Week 13,2019,0,1,,
Mitchell Trubisky,MT-1800,Chicago Bears,left shoulder dislocation & labrum tear,shoulder,upper body,High Severity,Week 4,2019,2,3,Labrum Repair Surgery,2-4 months
Malik Turner,MT-2350,Seattle Seahawks,concussion,head,upper body,Low Severity,Week 17,2019,2,2,,
Marquez Valdes-Scantling,MV-0012,Green Bay Packers,ankle sprain,ankle,lower body,Low Severity,Week 7,2019,0,3,,
Marquez Valdes-Scantling,MV-0012,Green Bay Packers,hamstring strain,hamstring,lower body,Low Severity,Week 6,2019,0,1,,
Marquez Valdes-Scantling,MV-0012,Green Bay Packers,knee sprain,knee,lower body,Low Severity,Week 7,2019,0,3,,
Michael Walker,MW-0350,Jacksonville Jaguars,hamstring strain,hamstring,lower body,Low Severity,Week 17,2019,1,1,,
Marcus Williams,MW-2250,New Orleans Saints,groin strain,groin,lower body,Low Severity,Week 16,2019,1,1,,
Maxx Williams,MW-2450,Arizona Cardinals,ankle sprain,ankle,lower body,Low Severity,Week 6,2019,1,2,,
Mike Williams,MW-2825,Los Angeles Chargers,knee sprain,knee,lower body,Low Severity,Week 1,2019,0,1,,
Mike Williams,MW-2825,Los Angeles Chargers,back spasms,back,upper body,Low Severity,Week 3,2019,1,2,,
Nasir Adderley,NA-0037,Los Angeles Chargers,hamstring strain,hamstring,lower body,Low Severity,Preseason,2019,0,0,,
Nasir Adderley,NA-0037,Los Angeles Chargers,hamstring strain,hamstring,lower body,High Severity,Week 4,2019,12,12,,
Nelson Agholor,NA-0050,Philadelphia Eagles,knee sprain,knee,lower body,Medium Severity,Week 12,2019,6,6,,
Nick Bawden,NB-0125,Detroit Lions,foot sprain,foot,lower body,Low Severity,Week 8,2019,0,1,,
Nick Bawden,NB-0125,Detroit Lions,back strain,back,upper body,Low Severity,Week 7,2019,0,1,,
Nick Bawden,NB-0125,Detroit Lions,knee sprain,knee,lower body,High Severity,Week 11,2019,6,6,,
Nick Bellore,NB-0200,Seattle Seahawks,quadriceps strain,quad,lower body,Low Severity,Week 13,2019,2,2,,
Nick Bosa,NB-0350,San Francisco 49ers,ankle sprain,ankle,lower body,Low Severity,Preseason,2019,0,3,,
Nick Boyle,NB-0450,Baltimore Ravens,ankle sprain,ankle,lower body,Low Severity,Week 13,2019,0,1,,
Nigel Bradham,NB-0500,Philadelphia Eagles,ankle sprain,ankle,lower body,Medium Severity,Week 6,2019,4,4,,
Noah Brown,NB-0750,Dallas Cowboys,knee sprain,knee,lower body,High Severity,Preseason,2019,16,16,Knee Repair Surgeries (2),9-12 months
Nate Ebner,NE-0250,New England Patriots,ankle sprain,ankle,lower body,Low Severity,Week 10,2019,0,2,,
Nate Ebner,NE-0250,New England Patriots,groin strain,groin,lower body,Low Severity,Week 2,2019,2,4,,
Nico Falah,NF-0150,Denver Broncos,Achilles tendon tear,achilles,lower body,High Severity,Preseason,2019,16,16,,
Noah Fant,NF-0175,Denver Broncos,foot sprain,foot,lower body,Low Severity,Preseason,2019,0,0,,
Noah Fant,NF-0175,Denver Broncos,foot contusion,foot,lower body,Low Severity,Week 14,2019,0,1,,
Noah Fant,NF-0175,Denver Broncos,hip strain,hip,lower body,Low Severity,Week 14,2019,0,1,,
Noah Fant,NF-0175,Denver Broncos,shoulder sprain,shoulder,upper body,Low Severity,Week 15,2019,1,1,,
Nick Foles,NF-0250,Jacksonville Jaguars,clavicle fracture,clavicle,upper body,High Severity,Week 1,2019,8,8,,
Najee Goode,NG-0350,Jacksonville Jaguars,toe sprain,toe,lower body,Low Severity,Week 7,2019,1,1,,
Najee Goode,NG-0350,Jacksonville Jaguars,knee sprain,knee,lower body,High Severity,Week 12,2019,5,5,,
Nate Hairston,NH-0075,New York Jets,knee sprain,knee,lower body,Low Severity,Week 5,2019,1,2,,
N'Keal Harry,NH-0825,New England Patriots,hip contusion,hip,lower body,Low Severity,Week 14,2019,0,1,,
N'Keal Harry,NH-0825,New England Patriots,toe sprain,toe,lower body,Low Severity,Preseason,2019,0,0,,
N'Keal Harry,NH-0825,New England Patriots,ankle sprain,ankle,lower body,High Severity,Preseason,2019,9,9,,
Neville Hewitt,NH-1225,New York Jets,neck strain,neck,upper body,Medium Severity,Week 6,2019,4,6,,
Natrell Jamerson,NJ-0217,Carolina Panthers,ankle sprain,ankle,lower body,High Severity,Week 5,2019,11,11,,
Nazair Jones,NJ-0500,Seattle Seahawks,knee sprain,knee,lower body,High Severity,Preseason,2019,16,16,,
Nicholas Morrow,NM-0675,Oakland Raiders,ankle sprain,ankle,lower body,Low Severity,Week 1,2019,0,1,,
Nick Nelson,NN-0050,Oakland Raiders,knee sprain,knee,lower body,Low Severity,Week 16,2019,,,,
Nick O'Leary,NO-0150,Jacksonville Jaguars,shoulder sprain,shoulder,upper body,Low Severity,Week 17,2019,1,1,,
Nathan Peterman,NP-0182,Oakland Raiders,elbow ligament tear throwing arm,elbow,upper body,High Severity,Preseason,2019,16,16,,
Nathan Shepherd,NS-0312,New York Jets,ankle sprain,ankle,lower body,Low Severity,Week 14,2019,0,1,,
Nate Solder,NS-0500,New York Giants,ankle sprain,ankle,lower body,Low Severity,Week 6,2019,0,2,,
Nate Solder,NS-0500,New York Giants,concussion,head,upper body,Low Severity,Week 10,2019,0,1,,
Nate Solder,NS-0500,New York Giants,neck strain,neck,upper body,Low Severity,Week 5,2019,0,1,,
Nate Sudfeld,NS-0775,Philadelphia Eagles,wrist fracture,wrist,upper body,Low Severity,Preseason,2019,2,4,,
Neiko Thorpe,NT-0150,Seattle Seahawks,hamstring strain,hamstring,lower body,Medium Severity,Week 1,2019,3,3,,
Neiko Thorpe,NT-0150,Seattle Seahawks,groin strain,groin,lower body,High Severity,Week 11,2019,8,8,Sports Hernia Surgery,4-6 weeks
Nick Vigil,NV-0200,Cincinnati Bengals,ankle sprain,ankle,lower body,Low Severity,Week 12,2019,0,1,,
Otaro Alaka,OA-0087,Baltimore Ravens,hamstring strain,hamstring,lower body,High Severity,Preseason,2019,17,17,,
Odell Beckham,OB-0075,Cleveland Browns,sports hernia,groin,lower body,Medium Severity,Preseason,2019,0,1,Core Muscle Surgery,2-3 months
Oren Burks,OB-0500,Green Bay Packers,pectoral strain,chest,upper body,Medium Severity,Preseason,2019,4,4,,
Oren Burks,OB-0500,Green Bay Packers,pectoral strain,chest,upper body,Medium Severity,Preseason,2019,4,5,,
O.J. Howard,OH-0250,Tampa Bay Buccaneers,hamstring strain,hamstring,lower body,Low Severity,Week 8,2019,2,3,,
Olabisi Johnson,OJ-0050,Minnesota Vikings,quadriceps strain,quad,lower body,Low Severity,Week 15,2019,0,1,,
Obi Melifonwu,OM-0350,New England Patriots,ankle sprain,ankle,lower body,Low Severity,Week 1,2019,1,1,,
Orion Stewart,OS-0950,Tampa Bay Buccaneers,ACL tear,knee,lower body,High Severity,Preseason,2019,16,16,ACL Reconstruction Surgery,6-9 months
Olivier Vernon,OV-0200,New York Giants,knee sprain,knee,lower body,Medium Severity,Week 9,2019,6,8,,
Prince Amukamara,PA-0300,Chicago Bears,hamstring strain,hamstring,lower body,Low Severity,Week 13,2019,1,3,,
Pharaoh Brown,PB-0725,Cleveland Browns,concussion,head,upper body,Low Severity,Week 9,2019,1,1,,
Parris Campbell,PC-0050,Indianapolis Colts,hamstring strain,hamstring,lower body,Low Severity,Preseason,2019,0,0,,
Parris Campbell,PC-0050,Indianapolis Colts,abdominal strain,abdomen,upper body,Medium Severity,Week 4,2019,3,4,Abdominal Surgery,3-4 weeks
Parris Campbell,PC-0050,Indianapolis Colts,foot fracture,foot,lower body,Medium Severity,Week 14,2019,3,3,,
Parris Campbell,PC-0050,Indianapolis Colts,hand fracture,hand,upper body,Medium Severity,Week 10,2019,4,4,Hand Surgery,2-4 weeks
Pat Chung,PC-0300,New England Patriots,heel strain,heel,lower body,Medium Severity,Week 4,2019,3,7,,
Pierre Desir,PD-0450,Indianapolis Colts,groin strain,groin,lower body,Low Severity,Week 14,2019,0,1,,
Pierre Desir,PD-0450,Indianapolis Colts,hamstring strain,hamstring,lower body,Medium Severity,Week 3,2019,4,6,,
Patrick DiMarco,PD-0700,Buffalo Bills,concussion,head,upper body,Low Severity,Week 5,2019,0,1,,
Phillip Dorsett,PD-0800,New England Patriots,hamstring strain,hamstring,lower body,Low Severity,Week 5,2019,1,2,,
Phillip Dorsett,PD-0800,New England Patriots,concussion,head,upper body,Low Severity,Week 11,2019,1,2,,
Parker Ehinger,PE-0185,Baltimore Ravens,shoulder sprain,shoulder,upper body,Medium Severity,Postseason,2019,2,2,,
Pat Elflein,PE-0192,Minnesota Vikings,knee contusion,knee,lower body,Low Severity,Week 1,2019,1,2,,
Poona Ford,PF-0300,Seattle Seahawks,calf strain,calf,lower body,Low Severity,Week 1,2019,1,1,,
Phillip Gaines,PG-0050,Houston Texans,ankle sprain,ankle,lower body,High Severity,Week 7,2019,11,11,Ankle Repair Surgery,4-6 months
Phil Haynes,PH-0425,Seattle Seahawks,ankle sprain,ankle,lower body,Low Severity,Week 10,2019,1,1,,
Phil Haynes,PH-0425,Seattle Seahawks,sports hernia,groin,lower body,High Severity,Preseason,2019,9,9,Sports Hernia Surgery,3-4 months
Phil Haynes,PH-0425,Seattle Seahawks,sports hernia,groin,lower body,High Severity,Preseason,2019,9,9,,
Patrick Mahomes,PM-0025,Kansas City Chiefs,ankle sprain,ankle,lower body,Low Severity,Week 1,2019,0,0,,
Patrick Mahomes,PM-0025,Kansas City Chiefs,patella dislocation,knee,lower body,Medium Severity,Week 7,2019,2,2,,
Pernell McPhee,PM-0500,Baltimore Ravens,triceps tear,triceps,upper body,High Severity,Week 7,2019,10,10,Triceps Surgery,6-8 months
Patrick Mekari,PM-0775,Baltimore Ravens,back strain,back,upper body,Low Severity,Week 9,2019,0,1,,
Patrick Onwuasor,PO-0175,Baltimore Ravens,ankle sprain,ankle,lower body,Low Severity,Week 5,2019,2,4,,
Patrick Ricard,PR-0125,Baltimore Ravens,back strain,back,upper body,Low Severity,Week 3,2019,0,1,,
Paul Richardson,PR-0150,Washington Redskins,hamstring strain,hamstring,lower body,Medium Severity,Week 11,2019,6,6,,
Patrick Robinson,PR-0400,New Orleans Saints,calf strain,calf,lower body,Low Severity,Week 13,2019,2,3,,
Patrick Robinson,PR-0400,New Orleans Saints,hamstring strain,hamstring,lower body,Low Severity,Week 7,2019,3,3,,
Pita Taumoepenu,PT-0150,San Francisco 49ers,hamstring strain,hamstring,lower body,Low Severity,Preseason,2019,,,,
Preston Williams,PW-1150,Miami Dolphins,ACL tear,knee,lower body,High Severity,Week 9,2019,7,7,ACL Reconstruction Surgery,6-9 months
Paul Worrilow,PW-1400,Philadelphia Eagles,quadricep strain,quad,lower body,Low Severity,Week 10,2019,3,3,,
Quandre Diggs,QD-0300,Detroit Lions,ankle sprain,ankle,lower body,Low Severity,Week 15,2019,2,2,,
Quandre Diggs,QD-0300,Detroit Lions,hamstring strain,hamstring,lower body,Low Severity,Week 4,2019,3,3,,
Quinton Dunbar,QD-0400,Washington Redskins,hamstring strain,hamstring,lower body,Low Severity,Week 14,2019,2,2,,
Quinton Dunbar,QD-0400,Washington Redskins,knee sprain,knee,lower body,Low Severity,Week 1,2019,2,2,,
Quincy Enunwa,QE-0100,New York Jets,neck sprain & spinal stenosis,neck,upper body,High Severity,Week 1,2019,16,16,,
Quinton Jefferson,QJ-0150,Seattle Seahawks,foot fracture,foot,lower body,High Severity,Postseason,2019,0,0,Foot Repair Surgery,8-10 weeks
Quinton Jefferson,QJ-0150,Seattle Seahawks,ankle sprain,ankle,lower body,Low Severity,Postseason,2019,0,1,,
Quinton Jefferson,QJ-0150,Seattle Seahawks,oblique strain,oblique,upper body,Low Severity,Week 7,2019,2,2,,
Quenton Nelson,QN-0075,Indianapolis Colts,hip sprain,hip,lower body,Low Severity,Week 7,2019,0,1,,
Quenton Nelson,QN-0075,Indianapolis Colts,concussion,head,upper body,Low Severity,Week 16,2019,0,1,,
Quinton Spain,QS-0075,Buffalo Bills,ankle sprain,ankle,lower body,Low Severity,Preseason,2019,0,0,,
Quincy Williams,QW-0050,Jacksonville Jaguars,hamstring strain,hamstring,lower body,Low Severity,Week 7,2019,2,2,,
Quinnen Williams,QW-0075,New York Jets,neck strain,neck,upper body,Low Severity,Week 14,2019,1,2,,
Quinnen Williams,QW-0075,New York Jets,ankle sprain,ankle,lower body,Low Severity,Week 1,2019,2,3,,
Quincy Wilson,QW-0200,Indianapolis Colts,shoulder sprain,shoulder,upper body,Medium Severity,Week 9,2019,3,3,,
Robert Alford,RA-0650,Arizona Cardinals,tibia fracture,tibia,lower body,High Severity,Preseason,2019,16,16,,
Robby Anderson,RA-1125,New York Jets,calf strain,calf,lower body,Low Severity,Preseason,2019,0,1,,
Robby Anderson,RA-1125,New York Jets,calf strain,calf,lower body,Low Severity,Week 17,2019,0,1,,
Rodney Anderson,RA-1137,Cincinnati Bengals,ACL tear,knee,lower body,High Severity,Preseason,2019,16,16,ACL Reconstruction Surgery,6-9 months
Ryan Anderson,RA-1175,Washington Redskins,neck strain,neck,upper body,Low Severity,Week 12,2019,,1,,
Ronald Blair,RB-2212,San Francisco 49ers,ACL tear,knee,lower body,High Severity,Week 10,2019,8,8,ACL Reconstruction Surgery,6-9 months
Rex Burkhead,RB-4670,New England Patriots,foot sprain,foot,lower body,Medium Severity,Week 3,2019,3,6,,
Randall Cobb,RC-1500,Dallas Cowboys,hip sprain,hip,lower body,Low Severity,Week 6,2019,1,2,,
Randall Cobb,RC-1500,Dallas Cowboys,back strain,back,upper body,Low Severity,Week 5,2019,1,2,,
Ross Cockrell,RC-1550,Carolina Panthers,quadriceps strain,quad,lower body,Low Severity,Week 10,2019,2,2,,
Ryan Connelly,RC-1950,New York Giants,ACL tear,knee,lower body,High Severity,Week 4,2019,12,12,ACL Reconstruction Surgery,6-9 months
Rashaad Coward,RC-2425,Chicago Bears,knee sprain,knee,lower body,Low Severity,Week 16,2019,1,1,,
Rashaad Coward,RC-2425,Chicago Bears,elbow sprain,elbow,upper body,Low Severity,Preseason,2019,1,2,,
Randin Crecelius,RC-2562,Baltimore Ravens,concussion,head,upper body,High Severity,Preseason,2019,17,17,,
Ronald Darby,RD-0050,Philadelphia Eagles,hip strain,hip,lower body,Low Severity,Week 14,2019,0,1,,
Ronald Darby,RD-0050,Philadelphia Eagles,hamstring strain,hamstring,lower body,Medium Severity,Week 3,2019,3,3,,
Robert Davis,RD-0450,Philadelphia Eagles,knee sprain,knee,lower body,Low Severity,Week 3,2019,0,1,,
Rhett Ellison,RE-0400,New York Giants,concussion,head,upper body,High Severity,Week 11,2019,6,6,,
Rashad Fenton,RF-0225,Kansas City Chiefs,hamstring strain,hamstring,lower body,Low Severity,Week 13,2019,2,2,,
Rudy Ford,RF-0725,Philadelphia Eagles,abdomen strain,abdomen,upper body,High Severity,Week 11,2019,7,7,,
Ramon Foster,RF-0900,Pittsburgh Steelers,concussion,head,upper body,Low Severity,Week 9,2019,2,2,,
Reuben Foster,RF-1050,Washington Redskins,ACL & LCL tears,knee,lower body,High Severity,Preseason,2019,16,16,ACL Reconstruction Surgery,6-9 months
Robert Foster,RF-1075,Buffalo Bills,toe sprain,toe,lower body,Low Severity,Preseason,2019,0,0,,
Robert Foster,RF-1075,Buffalo Bills,groin strain,groin,lower body,Medium Severity,Week 4,2019,3,3,,
Russell Gage,RG-0025,Atlanta Falcons,concussion,head,upper body,Low Severity,Week 2,2019,0,1,,
Rashan Gary,RG-0450,Green Bay Packers,neck strain,neck,upper body,Low Severity,Preseason,2019,,,,
Rashaan Gaulden,RG-0575,Carolina Panthers,groin strain,groin,lower body,Low Severity,Week 1,2019,2,2,,
Reggie Gilbert,RG-1050,Green Bay Packers,knee sprain,knee,lower body,Low Severity,Preseason,2019,2,3,,
Ryan Glasgow,RG-1150,Cincinnati Bengals,thigh contusion,quad,lower body,Low Severity,Week 3,2019,1,1,,
Ryan Glasgow,RG-1150,Cincinnati Bengals,thigh strain,quad,lower body,Medium Severity,Week 2,2019,3,3,,
Ryan Glasgow,RG-1150,Cincinnati Bengals,knee sprain,knee,lower body,High Severity,Week 8,2019,8,8,,
Raven Greene,RG-1818,Green Bay Packers,ankle sprain,ankle,lower body,High Severity,Week 2,2019,14,14,,
Ryan Griffin,RG-1870,New York Jets,ankle ligament tear,ankle,lower body,High Severity,Week 14,2019,3,3,Ankle Ligament Repair Surgery,4-6 months
Rodney Gunter,RG-2375,Arizona Cardinals,toe sprain,toe,lower body,Low Severity,Week 14,2019,3,3,,
Ronnie Harrison,RH-1150,Jacksonville Jaguars,concussion,head,upper body,Low Severity,Week 12,2019,1,1,,
Ronnie Harrison,RH-1150,Jacksonville Jaguars,concussion,head,upper body,Low Severity,Week 14,2019,,,,
Rob Havenstein,RH-1250,Los Angeles Rams,meniscus tear,knee,lower body,Medium Severity,Week 10,2019,5,5,,
Rashard Higgins,RH-1950,Cleveland Browns,knee sprain,knee,lower body,Medium Severity,Week 1,2019,4,4,,
Rodney Hudson,RH-3200,Oakland Raiders,ankle sprain,ankle,lower body,Low Severity,Week 8,2019,1,1,,
Richie Incognito,RI-0100,Oakland Raiders,back strain,back,upper body,Low Severity,Week 5,2019,0,1,,
Richie Incognito,RI-0100,Oakland Raiders,ankle sprain,ankle,lower body,Low Severity,Week 16,2019,2,2,,
Ryan Izzo,RI-0500,New England Patriots,concussion,head,upper body,Low Severity,Week 7,2019,2,3,,
Robert Jackson,RJ-0425,Cleveland Browns,ankle sprain,ankle,lower body,Low Severity,Week 13,2019,1,1,,
Ryan Jensen,RJ-0850,Tampa Bay Buccaneers,back strain,back,upper body,Low Severity,Week 4,2019,0,2,,
Ryan Jensen,RJ-0850,Tampa Bay Buccaneers,elbow sprain,elbow,upper body,Low Severity,Week 16,2019,0,1,,
Roderick Johnson,RJ-1450,Houston Texans,shoulder stinger,shoulder,upper body,Low Severity,Week 7,2019,0,1,,
Reshad Jones,RJ-2000,Miami Dolphins,chest strain,chest,upper body,High Severity,Week 6,2019,10,10,,
Ryan Kalil,RK-0100,New York Jets,shoulder sprain,shoulder,upper body,Low Severity,Week 7,2019,0,1,,
Ryan Kalil,RK-0100,New York Jets,knee sprain,knee,lower body,High Severity,Week 8,2019,9,9,,
Ryan Kerrigan,RK-0500,Washington Redskins,concussion,head,upper body,Low Severity,Week 12,2019,1,1,,
Ryan Kerrigan,RK-0500,Washington Redskins,calf strain,calf,lower body,Low Severity,Week 14,2019,,,,
Ryan Kerrigan,RK-0500,Washington Redskins,concussion,head,upper body,Low Severity,Week 12,2019,,1,,
Ronald Leary,RL-0350,Denver Broncos,shoulder sprain,shoulder,upper body,Low Severity,Week 12,2019,0,1,,
Ronald Leary,RL-0350,Denver Broncos,concussion,head,upper body,Medium Severity,Week 14,2019,4,4,,
Ryan Lewis,RL-0750,Indianapolis Colts,chest strain,chest,upper body,Low Severity,Week 12,2019,0,1,,
Ryan Lewis,RL-0750,Indianapolis Colts,hamstring strain,hamstring,lower body,Low Severity,Week 14,2019,,,,
Ricardo Louis,RL-1325,Miami Dolphins,knee sprain,knee,lower body,High Severity,Preseason,2019,16,16,,
Raekwon McMillan,RM-3150,Miami Dolphins,knee sprain,knee,lower body,Low Severity,Week 10,2019,1,1,,
Rashaan Melvin,RM-3850,Detroit Lions,rib contusion,rib,upper body,Medium Severity,Week 11,2019,3,3,,
Rontez Miles,RM-4100,New York Jets,neck strain,neck,upper body,High Severity,Week 8,2019,9,9,,
Rolan Milligan,RM-4275,Indianapolis Colts,knee sprain,knee,lower body,Low Severity,Week 4,2019,1,1,,
Raheem Mostert,RM-5050,San Francisco 49ers,knee sprain,knee,lower body,Low Severity,Week 7,2019,0,5,,
Roosevelt Nix,RN-1250,Pittsburgh Steelers,knee sprain,knee,lower body,High Severity,Week 1,2019,12,14,,
Rakeem Nunez-Roches,RN-1300,Tampa Bay Buccaneers,foot strain,foot,lower body,Low Severity,Week 17,2019,0,0,,
Rees Odhiambo,RO-0250,Arizona Cardinals,chest,chest,upper body,High Severity,Preseason,2019,16,16,,
Russell Okung,RO-0400,Los Angeles Chargers,groin strain,groin,lower body,Medium Severity,Week 10,2019,3,4,,
Romeo Okwara,RO-0450,New York Giants,groin strain,groin,lower body,Low Severity,Week 9,2019,2,2,,
Rashaad Penny,RP-0550,Seattle Seahawks,hamstring strain,hamstring,lower body,Medium Severity,Week 3,2019,3,4,,
Rashaad Penny,RP-0550,Seattle Seahawks,ACL & meniscus tears,knee,lower body,High Severity,Week 14,2019,5,5,ACL Reconstruction & Meniscectomy Surgeries,6-9 months
Robert Quinn,RQ-0200,Miami Dolphins,hand fracture,hand,upper body,Low Severity,Preseason,2019,,,,
Riley Reiff,RR-0250,Minnesota Vikings,ankle sprain,ankle,lower body,Low Severity,Week 7,2019,0,1,,
Riley Reiff,RR-0250,Minnesota Vikings,concussion,head,upper body,Low Severity,Week 13,2019,0,1,,
Roy Robertson-Harris,RR-0850,Chicago Bears,foot sprain,foot,lower body,Low Severity,Week 14,2019,1,1,,
Richard Rodgers,RR-1050,Philadelphia Eagles,foot sprain,foot,lower body,Low Severity,Preseason,2019,0,1,,
Ricky Seals-Jones,RS-0687,Cleveland Browns,knee sprain,knee,lower body,Low Severity,Week 9,2019,1,2,,
Russell Shepard,RS-0975,New York Giants,foot sprain,foot,lower body,High Severity,Week 4,2019,13,13,,
Richard Sherman,RS-1000,San Francisco 49ers,knee sprain,knee,lower body,Low Severity,Week 13,2019,0,1,,
Richard Sherman,RS-1000,San Francisco 49ers,hamstring strain,hamstring,lower body,Low Severity,Week 14,2019,1,1,,
Rod Smith,RS-2125,Oakland Raiders,hip adductor strain,hip,lower body,High Severity,Preseason,2019,7,7,,
