Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Surgery,Recovery Timetable
Kendall Lamm,KL-0075,Cleveland Browns,knee sprain,knee,lower body,High Severity,Week 1,2019,11,12,,
Kyle Long,KL-1350,Chicago Bears,hip sprain,hip,lower body,High Severity,Week 3,2019,12,13,,
Kareem Martin,KM-0425,New York Giants,knee sprain,knee,lower body,High Severity,Week 1,2019,,,,
KC McDermott,KM-1060,Jacksonville Jaguars,ankle sprain,ankle,lower body,High Severity,Preseason,2019,16,16,,
Kaleb McGary,KM-1137,Atlanta Falcons,knee sprain,knee,lower body,Low Severity,Week 2,2019,0,3,,
Kenny Moore,KM-2650,Indianapolis Colts,knee sprain,knee,lower body,Low Severity,Week 5,2019,1,2,,
Kenny Moore,KM-2650,Indianapolis Colts,ankle sprain,ankle,lower body,Medium Severity,Week 13,2019,4,4,,
Kyler Murray,KM-3500,Arizona Cardinals,hamstring strain,hamstring,lower body,Low Severity,Week 13,2019,0,2,,
Keanu Neal,KN-0125,Atlanta Falcons,achilles tendon tear,achilles,lower body,High Severity,Week 3,2019,13,13,Achilles Tendon Repair Surgery,6-9 months
Kelechi Osemele,KO-0750,New York Jets,chest strain,chest,upper body,Low Severity,Preseason,2019,0,0,,
Kelechi Osemele,KO-0750,New York Jets,knee sprain,knee,lower body,Low Severity,Week 3,2019,1,3,,
Kelechi Osemele,KO-0750,New York Jets,labrum tear,shoulder,upper body,High Severity,Week 5,2019,11,11,Labrum Repair Surgery,2-4 months
Kevin Pamphile,KP-0050,Tennessee Titans,knee sprain,knee,lower body,Medium Severity,Week 1,2019,5,5,,
Kevin Peterson,KP-0450,Arizona Cardinals,shoulder sprain,shoulder,upper body,Medium Severity,Week 14,2019,3,4,,
Kalif Raymond,KR-0312,Tennessee Titans,concussion,head,upper body,Low Severity,Week 17,2019,2,2,,
Keith Reaser,KR-0325,Kansas City Chiefs,Achilles tear,heel,lower body,High Severity,Preseason,2019,17,17,Achilles Tendon Repair Surgery,6-9 months
Kalan Reed,KR-0387,Seattle Seahawks,neck strain,neck,upper body,High Severity,Preseason,2019,16,16,,
Kendall Sheffield,KS-0750,Atlanta Falcons,ankle sprain,ankle,lower body,Low Severity,Week 17,2019,0,1,,
Kawann Short,KS-0850,Carolina Panthers,rotator cuff tear,shoulder,upper body,High Severity,Week 2,2019,14,14,Shoulder Reconstruction Surgery,4-6 months
Keith Smith,KS-1400,Atlanta Falcons,knee sprain,knee,lower body,Low Severity,Week 7,2019,0,1,,
Kenny Stills,KS-2350,Houston Texans,knee sprain,knee,lower body,Low Severity,Week 17,2019,1,2,,
Kenny Stills,KS-2350,Houston Texans,hamstring strain,hamstring,lower body,Low Severity,Week 4,2019,2,2,,
Kentavius Street,KS-2375,San Francisco 49ers,knee tendinitis,knee,lower body,High Severity,Preseason,2019,15,15,Arthroscopic Knee Surgery,3-6 months
Kemoko Turay,KT-0950,Indianapolis Colts,neck strain,neck,upper body,Low Severity,Preseason,2019,1,2,,
Kemoko Turay,KT-0950,Indianapolis Colts,ankle fracture,ankle,lower body,High Severity,Week 5,2019,11,11,Ankle Repair Surgery,4-6 months
Kenny Vaccaro,KV-0050,Tennessee Titans,concussion,head,upper body,Low Severity,Week 14,2019,0,1,,
Kyle Van Noy,KV-0075,New England Patriots,knee sprain,knee,lower body,Low Severity,Preseason,2019,1,1,,
Kahale Warring,KW-0550,Houston Texans,concussion,head,upper body,Low Severity,Preseason,2019,0,0,,
Kahale Warring,KW-0550,Houston Texans,hamstring strain,hamstring,lower body,Medium Severity,Preseason,2019,16,16,,
Ken Webster,KW-0862,Miami Dolphins,ankle sprain,ankle,lower body,Medium Severity,Week 8,2019,4,6,,
Kenny Wiggins,KW-0930,Detroit Lions,knee sprain,knee,lower body,Low Severity,Week 13,2019,0,1,,
Kenny Wiggins,KW-0930,Detroit Lions,biceps tear,biceps,upper body,High Severity,Week 15,2019,2,2,Biceps Repair Surgery,4-6 months
Kyle Wilber,KW-0960,Oakland Raiders,ankle sprain,ankle,lower body,Low Severity,Week 13,2019,2,2,,
K'Waun Williams,KW-1550,San Francisco 49ers,hand contusion,hand,upper body,Low Severity,Week 6,2019,0,1,,
K'Waun Williams,KW-1550,San Francisco 49ers,neck strain,neck,upper body,Low Severity,Week 11,2019,0,1,,
K'Waun Williams,KW-1550,San Francisco 49ers,concussion,head,upper body,Low Severity,Week 14,2019,1,1,,
K'Waun Williams,KW-1550,San Francisco 49ers,concussion,head,upper body,Low Severity,Week 14,2019,,,,
Khari Willis,KW-1850,Indianapolis Colts,concussion,head,upper body,Low Severity,Week 11,2019,1,2,,
Khari Willis,KW-1850,Indianapolis Colts,neck strain,neck,upper body,Low Severity,Week 16,2019,1,1,,
K.J. Wright,KW-2500,Seattle Seahawks,finger dislocation,hand,upper body,Low Severity,Week 14,2019,,,,
Kerry Wynn,KW-2800,Cincinnati Bengals,concussion,head,upper body,High Severity,Week 2,2019,14,14,,
Kevin Zeitler,KZ-0050,New York Giants,shoulder sprain,shoulder,upper body,Low Severity,Week 2,2019,0,3,,
Kevin Zeitler,KZ-0050,New York Giants,ankle sprain,ankle,lower body,Low Severity,Week 15,2019,1,1,,
Le'Veon Bell,LB-0250,New York Jets,knee sprain,knee,lower body,Low Severity,Week 9,2019,0,1,,
Le'Veon Bell,LB-0250,New York Jets,rib sprain,rib,upper body,Low Severity,Week 11,2019,0,1,,
Lorenzo Carter,LC-0250,New York Giants,neck strain,neck,upper body,Low Severity,Week 4,2019,1,2,,
L.J. Collier,LC-0812,Seattle Seahawks,high ankle sprain,ankle,lower body,Low Severity,Preseason,2019,1,1,,
La'el Collins,LC-0825,Dallas Cowboys,back strain,back,upper body,Low Severity,Week 5,2019,0,3,,
La'el Collins,LC-0825,Dallas Cowboys,MCL sprain,knee,lower body,Low Severity,Week 5,2019,1,7,,
Landon Collins,LC-0850,Washington Redskins,achilles strain,achilles,lower body,Low Severity,Week 15,2019,0,1,,
Landon Collins,LC-0850,Washington Redskins,shoulder sprain,shoulder,upper body,Low Severity,Week 16,2019,1,1,,
Lavonte David,LD-0150,Tampa Bay Buccaneers,meniscus tear,knee,lower body,Low Severity,Preseason,2019,,,,
Laurent Duvernay-Tardif,LD-1000,Kansas City Chiefs,ankle sprain,ankle,lower body,Low Severity,Week 9,2019,2,2,,
Leonard Floyd,LF-0450,Chicago Bears,rib contusion,rib,upper body,Low Severity,Week 13,2019,0,1,,
Leonard Fournette,LF-0650,Jacksonville Jaguars,neck strain,neck,upper body,Low Severity,Week 17,2019,1,1,,
Lamont Gaillard,LG-0050,Arizona Cardinals,thumb sprain,thumb,upper body,Low Severity,Week 11,2019,0,1,,
Lamont Gaillard,LG-0050,Arizona Cardinals,knee sprain,knee,lower body,Medium Severity,Preseason,2019,4,5,,
Luke Gifford,LG-0287,Dallas Cowboys,arm fracture,arm,upper body,High Severity,Week 15,2019,2,2,,
Lavon Hooks,LH-1750,Pittsburgh Steelers,achilles tendon tear,achilles,lower body,High Severity,Preseason,2019,16,16,Achilles Tendon Repair Surgery,6-9 months
Lamar Jackson,LJ-0150,Baltimore Ravens,quadriceps contusion,quad,lower body,Low Severity,Week 14,2019,0,1,,
Leon Jacobs,LJ-0312,Jacksonville Jaguars,hamstring strain,hamstring,lower body,Low Severity,Week 7,2019,2,2,,
Lane Johnson,LJ-0850,Philadelphia Eagles,knee sprain,knee,lower body,Low Severity,Preseason,2019,0,0,,
Lane Johnson,LJ-0850,Philadelphia Eagles,concussion,head,upper body,Low Severity,Week 11,2019,1,1,,
Lane Johnson,LJ-0850,Philadelphia Eagles,high ankle sprain,ankle,lower body,Medium Severity,Week 14,2019,4,4,,
Linval Joseph,LJ-1700,Minnesota Vikings,knee sprain,knee,lower body,Medium Severity,Week 9,2019,2,2,Meniscus Repair Surgery,3-4 weeks
Lamarcus Joyner,LJ-1800,Los Angeles Rams,groin strain,groin,lower body,Low Severity,Week 3,2019,0,1,,
Lamarcus Joyner,LJ-1800,Los Angeles Rams,hamstring strain,hamstring,lower body,Low Severity,Week 10,2019,2,2,,
Lamarcus Joyner,LJ-1800,Los Angeles Rams,calf strain,calf,lower body,Low Severity,Week 16,2019,,,,
Lonnie Johnson,LJ-9200,Houston Texans,ankle sprain,ankle,lower body,Low Severity,Week 11,2019,1,2,,
Lonnie Johnson,LJ-9200,Houston Texans,concussion,head,upper body,Low Severity,Week 8,2019,1,1,,
Lance Lenoir,LL-0650,Dallas Cowboys,patellar tendon tear,knee,lower body,High Severity,Preseason,2019,16,16,Patellar Tendon Repair Surgery,9-12 months
LeSean McCoy,LM-1000,Kansas City Chiefs,ankle sprain,ankle,lower body,Low Severity,Week 2,2019,0,1,,
Lerentee McCray,LM-1020,Jacksonville Jaguars,oblique strain,oblique,upper body,Low Severity,Week 4,2019,1,2,,
Lerentee McCray,LM-1020,Jacksonville Jaguars,hamstring strain,hamstring,lower body,High Severity,Week 11,2019,6,6,,
Lamar Miller,LM-1150,Houston Texans,ACL & MCL tears,knee,lower body,High Severity,Preseason,2019,18,18,Knee Reconstruction Surgery,6-9 months
Leshaun Sims,LS-0950,Tennessee Titans,ankle sprain,ankle,lower body,Low Severity,Week 12,2019,1,1,,
Luke Stocker,LS-1900,Atlanta Falcons,foot sprain,foot,lower body,Low Severity,Week 3,2019,0,1,,
Luke Stocker,LS-1900,Atlanta Falcons,knee sprain,knee,lower body,Low Severity,Week 11,2019,0,1,,
Luke Stocker,LS-1900,Atlanta Falcons,back strain,back,upper body,Low Severity,Week 13,2019,1,1,,
Lane Taylor,LT-0150,Green Bay Packers,biceps tear,biceps,upper body,High Severity,Week 3,2019,15,15,Biceps Repair Surgery,4-6 months
Logan Thomas,LT-0275,Detroit Lions,shoulder sprain,shoulder,upper body,Low Severity,Week 7,2019,0,1,,
Levine Toilolo,LT-0550,San Francisco 49ers,groin strain,groin,lower body,Low Severity,Week 8,2019,0,3,,
Laremy Tunsil,LT-0950,Houston Texans,ankle sprain,ankle,lower body,Low Severity,Week 2,2019,0,1,,
Laremy Tunsil,LT-0950,Houston Texans,ankle sprain,ankle,lower body,Low Severity,Week 17,2019,1,1,,
Laremy Tunsil,LT-0950,Houston Texans,shoulder sprain,shoulder,upper body,Low Severity,Week 8,2019,1,2,,
Leighton Vander Esch,LV-0050,Dallas Cowboys,neck stinger,neck,upper body,High Severity,Week 8,2019,7,7,Neck Surgery,2-3 months
LaAdrian Waddle,LW-0050,Buffalo Bills,quadriceps tear,quad,lower body,High Severity,Preseason,2019,17,17,,
Levi Wallace,LW-0150,Buffalo Bills,ankle sprain,ankle,lower body,Low Severity,Week 17,2019,1,1,,
Leterrius Walton,LW-0250,Pittsburgh Steelers,meniscus tear,knee,lower body,High Severity,Week 11,2019,6,6,,
Larry Warford,LW-0350,New Orleans Saints,shoulder sprain,shoulder,upper body,Low Severity,Week 4,2019,0,1,,
Larry Warford,LW-0350,New Orleans Saints,knee sprain,knee,lower body,Low Severity,Week 16,2019,1,1,,
Luke Willson,LW-1450,Seattle Seahawks,rib fracture,rib,upper body,Low Severity,Week 9,2019,0,1,,
Luke Willson,LW-1450,Seattle Seahawks,hamstring strain,hamstring,lower body,Medium Severity,Week 10,2019,4,4,,
Mike Adams,MA-0250,Houston Texans,concussion,head,upper body,Low Severity,Week 11,2019,1,1,,
Montravius Adams,MA-0275,Green Bay Packers,shoulder sprain,shoulder,upper body,Low Severity,Week 2,2019,2,3,,
Mario Addison,MA-0300,Carolina Panthers,chest strain,chest,upper body,Low Severity,Week 13,2019,0,2,,
Mackensie Alexander,MA-0350,Minnesota Vikings,meniscus tear,knee,lower body,Medium Severity,Week 16,2019,2,3,,
Mackensie Alexander,MA-0350,Minnesota Vikings,elbow dislocation,elbow,upper body,Medium Severity,Week 1,2019,3,4,,
Maurice Alexander,MA-0450,Buffalo Bills,calf strain,calf,lower body,Low Severity,Week 8,2019,10,10,,
Mo Alie-Cox,MA-0487,Indianapolis Colts,hip sprain,hip,lower body,Low Severity,Week 11,2019,0,1,,
Mo Alie-Cox,MA-0487,Indianapolis Colts,thumb sprain,thumb,upper body,Low Severity,Week 12,2019,0,2,,
Mark Andrews,MA-1050,Baltimore Ravens,foot sprain,foot,lower body,Low Severity,Week 2,2019,0,3,,
Mark Andrews,MA-1050,Baltimore Ravens,knee contusion,knee,lower body,Low Severity,Week 14,2019,0,1,,
Mark Andrews,MA-1050,Baltimore Ravens,shoulder sprain,shoulder,upper body,Low Severity,Week 6,2019,0,1,,
Mark Andrews,MA-1050,Baltimore Ravens,ankle sprain,ankle,lower body,Low Severity,Week 16,2019,1,2,,
Marcell Ateman,MA-1287,Oakland Raiders,ribs sprain,rib,upper body,Low Severity,Week 15,2019,0,1,,
Mark Barron,MB-0650,Pittsburgh Steelers,hamstring strain,hamstring,lower body,Low Severity,Week 5,2019,1,2,,
Michael Bennett,MB-1900,Dallas Cowboys,ankle fracture,ankle,lower body,High Severity,Preseason,2019,0,0,Ankle Repair Surgery,6-8 weeks
Marquise Blair,MB-2525,Seattle Seahawks,ankle sprain,ankle,lower body,Medium Severity,Postseason,2019,1,1,,
